,Question,,,,Response,
41,ମୋ ଧାନ ରେ କେଣ୍ଡା କଟା ପୋକ ଲାଗୁଛି ଏବଂ କେଣ୍ଡା ଖାଇଦଉଛି ତେବେ ଏହାର ଦମନ ପାଇଁ କଣ କରିବି?,What can I do to control the cutworm in my rice and the caterpillar is eating it?,Pest and Disease management,Earhead Caterpillar,"ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନରେ କେଣ୍ଡା କଟା ପୋକ ଲାଗୁଛି ତେବେ ଏହି ପୋକର ପରିଚାଳନା ପାଇଁ Chlorpyriphos 20%EC ଔଷଧ ଯାହାକି Tricel ବା Classic ନା ରେ ମିଳୁଛି 30 ମିଲି କୁ ପ୍ରତି 15 ଲିଟର ପାଣିରେ ମିଶାଇ କିମ୍ବା Fipronil 5% SC କୀଟନାଶକ ଯାହାକି Falcon ବା Regent ନାମରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 30 ମିଲି ପ୍ରତି 15 ଲିଟରେ ପାଣିରେ ମିଶାଇ କିମ୍ବା Cartap hydrochloride 50% SP କୀଟନାଶକ ଯାହାକି Caldan ବା Padan ବା Indane SP ନାମରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 30 ଗ୍ରାମ  ପ୍ରତି 15 ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରି ପାରିବେ।  ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡିଥାଏ।","Your question was if there is a cutworm in the paddy, then for control of this pest Chlorpyriphos 20%EC available as Tricel or Classic No. 30 ml per 15 liters of water or Fipronil 5% SC insecticide available as Falcon or Regent 30 ml 30 grams per 15 liters of water or Cartap hydrochloride 50% SP insecticide available as Caldan or Padan or Indane SP can be sprayed. Remember, medicinal irrigation requires 200 liters of water per acre."
42,ତଳି ଗୁଡିକ ସଢି ଯାଉଛି। ଏହାର ପ୍ରତିକାର କିଛି କୁହନ୍ତୁ?,Floors are being repaired. What is the remedy?,Pest and Disease management,Seedling rot ,"ଆପଣ ପଚାରି ଥିଲେ ଯେ ତଳି ଗୁଡିକ ସଢି ଯାଉଛି ଏବଂ ସୁଖୀକି ମରି ଯାଉଛି। ଏହାର ପ୍ରତିକାର କରିବା ପାଇଁ ଆପଣ Copper oxychloride88% w/w ଔଷଧ ଯାହାକି Blitox-50 ନାମରେ ମିଳୁଛି ସେଥିରୁ 30-ଗ୍ରାମ ଏବଂ 15-ଗ୍ରାମ Plantomycin ଔଷଧ କୁ 15-ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200-ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡିଥାଏ ।","You asked if the palms were getting straightened out and Sukhki was dying. To remedy this, mix 30-gm of Copper oxychloride 88% w/w medicine known as Blitox-50 and 15-gm Plantomycin medicine in 15-liter of water. Remember, irrigation requires 200-litres of water per acre."
43,"ତଳି ଘେରାରେ ତଳି ପଚି ଯାଉଛି, ଏହାର ପ୍ରତିକାର ଟି କେମିତି କରିବା?","The floor is rotting in the floor, how to remedy it?",Pest and Disease management,Seedling rot ,"ଆପଣ ପଚାରି ଥିଲେ ଯେ ତଳି ଘେରା ରେ ତଳି ପଚି ଯାଉଛି, ଏହାର ପ୍ରତିକାର କେମିତି କରିବେ। ଏହାର ପ୍ରତିକାର କରିବା ପାଇଁ ଆପଣ Copper oxychloride88% w/w ଔଷଧ ଯାହାକି blitox-50 ନାମରେ ମିଳୁଛି ସେଥିରୁ 30-ଗ୍ରାମ ଏବଂ 15-ଗ୍ରାମ Plantomycin ଔଷଧ କୁ 15 ଲିଟର ପାଣି ରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200-ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ ।","You asked how to remedy the rotting of the floor. To remedy this, mix 30-gm of Copper oxychloride 88% w/w medicine known as blitox-50 and 15-gm Plantomycin in 15 liters of water. Remember, 200-litres of water per acre is required for medicinal irrigation."
44,ମୋର ଧାନ ଗଛରେ ପତ୍ରପୋଡା ରୋଗ ଦେଖାଯାଉଛି ଏବଂ ଧାନ ଗଛ ପାଚିଯାଉଛି?,Is my rice plant showing leaf blight and is the rice plant wilting?,Pest and Disease management,Bacterial leaf blight,"ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନରେ ପତ୍ରପୋଡା ରୋଗ ର ନିୟନ୍ତ୍ରଣ ଉପରେ। ଯଦି ଧାନ ଗଛ ପତ୍ରର ଅଗ ଭାଗ ଦୁଇ ଧାର ରୁ ପୋଡି ଆସୁଛି ତେବେ Copper oxychloride88% w/w ଔଷଧ ଯାହାକି Blitox-50 ନାମରେ ମିଳୁଛି ସେଥିରୁ 30-ଗ୍ରାମ ସହ Plantomycin ଔଷଧ କୁ 15-ଗ୍ରାମ 15-ଲିଟର ପାଣିରେ ମିଶାଇ କିମ୍ବା Hexaconazole 5% EC ଯାହାକି Contaf ବା Trigger ନାମରେ ମିଳୁଛି ସେଥିରୁ  15-ମି.ଲି. ଔଷଧ କୁ 15-ଲିଟର ପାଣିରେ ମିଶାଇସିଂଚନ କରନ୍ତୁ । ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200-ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡିଥାଏ ।","Your question was on control of leaf blight disease in paddy. If the upper part of rice plant leaves is burnt from both sides then apply Copper oxychloride 88% w/w as Blitox-50 30-gm with Plantomycin 15-gm in 15-litre water or Hexaconazole 5% EC as Contaf or Trigger. 15-ml of which is found in the name Dilute the medicine in 15-liter water. Remember, irrigation requires 200-litres of water per acre."
45,"ଧାନ ଖେଡ଼ ଶୁଖା ବାହାରୁଛି, ଯେଉଁ ଧାନ ବାହାରୁଛି ସେଟା ପୋଲା ହେଇଯାଉଛି। ଏହା ପୋକ ଯୋଗୁ କି ରୋଗ ଯୋଗୁ ଜାଣି ପାରୁନାହି। କ’ଣ କରିବା କୁହନ୍ତୁ?  ","The grain field is dry, the grain that is growing is drying up. It is not known whether it is due to worms or disease. Tell me what to do?",Pest and Disease management,Stemborer and Neck Blast,"ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଶୁଖା ଧାନ ବାହାରୁଛି। ତେବେ ଏହା ମୁଖ୍ୟତଃ ଦୁଇଟି କାରଣ ରୁ ହୋଇଥାଏ କାଣ୍ଡବିନ୍ଧା ଅଥବା ଗଲା ମହିଷା। ଯଦି ମଞ୍ଜ ପତ୍ର କୁ ଟାଣିଲେ ଏହା ପଳେଈ ଆସୁଛି ତେବେ ଏହା କାଣ୍ଡବିନ୍ଧା ପୋକ ଯୋଗୁ ହୋଇଥାଏ। ଏହାର ପ୍ରତିକାର ପାଇଁ Fipronil 5%EC ଯାହାକି Sergent SC ବା Regent ନାମରେ ମିଳୁଛି ସେଥିରୁ -15 ମି ଲି ଔଷଧକୁ 15 ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ଯଦି କେଣ୍ଡାର ଗଳା ଅଂଶ କଳା ପଡି ଥାଏ ତେବେ propiconazole25%EC ଯାହାକି Tilt ବା Xerox ନାମରେ ମିଳୁଛି ସେଥିରୁ -15 ମି ଲି କିମ୍ବା Hexaconazole 5% EC ଯାହାକି Contaf ବା Trigger ନାମରେ ମିଳୁଛି ସେଥିରୁ  15-ମି.ଲି. ଔଷଧ କୁ 15-ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ ।","Your question was dry paddy coming out. However, it is mainly due to two reasons: Candidiasis or gout. If the seed leaf is pulled and it comes out dusty then it is caused by the cankerworm. For its remedy, mix 15 ml of Fipronil 5%EC which is available under the name of Sergent SC or Regent in 15 liters of water and spray. If the canker's throat is black, propiconazole 25% EC available as Tilt or Xerox -15 ml or Hexaconazole 5% EC available as Contaf or Trigger 15-ml. Mix the medicine in 15-liter water and infuse. Remember, 200 liters of water per acre is required for medicinal irrigation."
46,ଧାନ ହେବା ସମୟରେ କଳା କଳା ପଡୁଛି ଏବଂ ଧାନ ଫୁଟି କଳା ପଡି ଯାଉଛି। ଏହାର ପ୍ରତିକାର କ’ଣ,"At the time of ripening, black is falling and the grain is bursting and turning black. What is the remedy?",Pest and Disease management,False smut,"ଧାନ ବାହାରିବା ବେଳେ କଳା ପଡିଗଲେ ଏହା ଏକ ରୋଗ ଏଥିରେ ଧାନ ମେଞ୍ଚାଏ କଳା ରେଣୁରେ ପରିଣତ ହେଇଯାଏ ଓ ଖଇ ଫୁଟିଲା ଭଳି ଦେଖାଯାଏ। ଏହାର ପ୍ରତିକାର ପାଇଁ Copper Hydroxide77% WP ଯାହାକି Champion କିମ୍ବା Hi-dice ନାମରେ ମିଳୁଛି @ 45 ଗ୍ରାମ 15 ଲିଟର ପାଣି କିମ୍ବା propiconazole25%EC ଯାହାକି Tilt ବା Xerox ନାମରେ ମିଳୁଛି ସେଥିରୁ 15 ମିଲି 15 ଲିଟର ପାଣି ରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ ।","If the grain turns black at the time of emergence, it is a disease in which the kernels turn into black kernels and look like boils. For remediation, apply Copper Hydroxide 77% WP available as Champion or Hi-dice @ 45 gms in 15 liters of water or propiconazole 25%EC available as Tilt or Xerox at 15 ml in 15 liters of water. Remember, 200 liters of water per acre is required for medicinal irrigation."
47,"ଶୀତ ଦିନେ ଧାନ ଫସଲ ଭଲ ବଢୁ ନାହି, କ’ଣ କଲେ ଭଲ ବଢିବ। ","Paddy crop does not grow well on a winter day, what if it will grow well.",Crop Growth management,,ସାଧାରଣତଃ ଶୀତ ଦିନେରେ ତାପମାତ୍ରା କମ ରହେ ସେଥିପାଇଁ ଧାନ ର ବୃଦ୍ଧି ଠିକ ଭାବରେ ହୁଏ ନାହି ତେଣୁ ଏହାର ପ୍ରତିକାର ପାଇଁ ଧାନ ତଳି 15 ଦିନ ର ହେଇଗଲା ପରେ Polyfeed ସାର- 5 ଗ୍ରାମ 15 ଲିଟର ପାଣିରେ ମିଶ।ଇ ଧାନ ଫସଲ ରେ ସିଂଚନ କରନ୍ତୁ। ,"Generally, due to the low temperature in winter, the growth of paddy does not take place properly, so to remedy this, after 15 days of paddy planting, mix Polyfeed fertilizer- 5 grams in 15 liters of water."
48,ଧାନ ଚାଷ କରିବା ପୂର୍ବରୁ ଜମି କୁ ପୁରା ଘାସ ମୁକ୍ତ କରିବି। ଚଉଡା ପତ୍ର ଘାସ ଗୁଡିକ ପ୍ରବଳ ହେଉଛି। ଏଗୁଡ଼ିକୁ ନିୟନ୍ତ୍ରଣ କେମିତି କରି ପାରିବି?,I will rid the land completely of weeds before planting paddy. Broadleaf grasses are dominant. How can I control them?,Weed management,,ଆପଣଙ୍କ ବିଲ ରେ ଚଉଡା ପାତ୍ର ଘାସ କୁ ସମୂଳେ ନାଶ କରିବା ପାଇଁ Glyphosate ଔଷଧ ଯାହାକି Roundoff କିମ୍ବା Glycel-41 କିମ୍ବା No-weed ନା ରେ ମିଳୁଛି ଆପଣ 75 ମିଳି ଔଷଧ କୁ 15 ଲିଟର ରେ ପାଣି ରେ ମିଶାଇ ସିଂଚନ କରି ପାରିବେ।ମନେ ରଖନ୍ତୁ ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ହୋଇ ଥାଏ। ଏହାର 10 ଦିନ ପରେ ବିଲ ରେ ହଲ କରି ବିହନ ବୁଣି ପାରିବେ। ,"To completely kill broadleaf weeds in your bill, use Glyphosate herbicides such as Roundoff or Glycel-41 or No-weed. Water is needed. After 10 days, you can plow the fields and sow the seeds."
49,ବୁଣା ଧାନ ଜମିରେ ଘାସ କୁ ପ୍ରତିକାର କେମିତି କରିବା କୁହନ୍ତୁ?,Tell me how to treat the grass in the field?,Weed management,,ଧାନ ବୁଣିବାର 1 ରୁ 2 ଦିନ ମଧ୍ୟରେ ଏକର ପିଛା Pretilachlor 50% EC ନାମକ ତୃଣନାଶକ 600 ମିଲି ଧାନ ବୁଣିବାର 3 ରୁ 5 ଦିନ ମଧ୍ୟରେ 200 ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ,Apply 600 ml of Pretilachlor 50% EC herbicide per acre on 1 to 2 days of sowing and 200 liters of water on 3 to 5 days of sowing.
50,ଧାନ ରୁଆ ର କେତେ ଦିନ ପରେ ସାର ମରା ଯାଏ ଏବଂ ତାର ର କେତେ ଦିନ ପରେ ଘାସ ମରା ଔଷଧ ପ୍ରୟୋଗ କରା ଯାଏ। ,How many days after harvesting the fertilizer is applied and how many days after the wire is applied the herbicide.,Weed management,Pre-emergence weed management,"ଧାନ ରୋଇବା ସମୟରେ ପ୍ରତି ଏକର ଜମିରେ 35 କେଜି DAP ସାର, 13 କେଜି Potash ସାର ଓ 4 କେଜି Urea ସାର ପ୍ରୟୋଗ କରା ଯାଏ ଯଦି ଏହି ସାର ଦେଇପାରିନାହାନ୍ତି ତେବେ ଧାନ ରୋଇବାର 7 ରୁ 10 ଦିନ ମଧ୍ୟରେ ଏହି ମୂଳ ସାର ପ୍ରୟୋଗ କରି ପାରିବେ। ତୂଣନାଶକ ଭାବରେ ଧାନ ତଳି ରୋଇବାର 5 ଦିନ ହୋଇଥିଲେ Pretilachlor ଯାହାକି Craze ବା Refit ନାମରେ ମିଳେ 320 ମିଲି ଔଷଧ କୁ ଏକର ଜମିରେ ପ୍ରୟୋଗ କରନ୍ତୁ।  ","35 kg of DAP fertilizer, 13 kg of Potash fertilizer and 4 kg of Urea fertilizer are applied per acre at the time of paddy sowing. As a fertilizer, apply Pretilachlor, known as Craze or Refit, 320 ml per acre after 5 days of sowing."
51,ଧାନ ଫସଲରେ ଅନାବନା ଘାସ ପାଇଁ ଗଛର ବଢନ୍ତା ଅବସ୍ଥା ରେ କେଉଁ ଘାସ ମରା ତୂଣନାଶକ ବ୍ୟବହାର କରିବି। ,Which weed killer fertilizer should I use in the growing stage of the tree for uncultivated weeds in paddy crops.,Weed management,,"ଧାନ ଛଟା ବୁଣା କରିବାର 15 ଦିନ ହୋଇଯାଇଥିଲେ Bispyribac Sodium ଯାହାକି Nominee Gold ନାମରେ ମିଳୁଛି 80 ମିଲି ଔଷଧ କୁ 200 ଲିଟର ପାଣିରେ ମିଶାଇ ଏକ ଏକର ଜମିରେ ପ୍ରୟୋଗ କରନ୍ତୁ କିମ୍ବା ଧାନ ଛଟା ବୁଣା କରିବାର 20 ଦିନ ହୋଇଯାଇଥିଲେ 2,4 -D କୁ 500 ଗ୍ରାମ 200 ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ","Apply Bispyribac Sodium under the name Nominee Gold after 15 days of sowing of rice in 200 liters of water in 80 ml or apply 2,4-D in 500 grams in 200 liters of water after 20 days of sowing of rice."
52,ଧାନ ରେ ଲଟା ମରା ପାଇଁ କେଉଁ ଔଷଧ ଦିଆ ଯିବ। ,What medicine will be given for lata mara in rice.,Weed management,,ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନରେ ଘାସ କେମିତି ନିୟନ୍ତ୍ରଣ କରିବେ। ଧାନ ରୋଇବାର 15-30 ଦିନ ମଧ୍ୟରେ କିମ୍ବା ଘାସ 2 ରୁ 4 ପତ୍ର ଥିବା ଅବସ୍ଥାରେ Bispyribac Sodium ଘାସ ମରା ଔଷଧ ଯାହାକି Nominee Gold ବା Adora ବା Tata Tarak ନାମରେ ମିଳୁଛି ଏକର ପିଛା 100 ମିଲି ଔଷଧ କୁ 200 ଲିଟର ପାଣି ରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ଜମିରେ ଚଉଡା ପତ୍ରିଆ ଏବଂ ମୁଥା ଘାସ ଅଧିକ ଦେଖା ଯାଉଥିଲେ ଧାନ ରୋଇବାର 20-25 ଦିନ ମଧ୍ୟରେ Metsulfuron-methyl ଏବଂ Chlorimuron-ethyl ର ମିଳିତ ତୃଣନାଶକ ଯାହାକି Almix ବା Core Mix ବା Alvida ନାମ ରେ ମିଳୁଛି ଏକର ପିଛା 8-ଗ୍ରାମ ଔଷଧ କୁ 200 ଲିଟର ପାଣି ରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ତୃଣନାଶକ ଔଷଧ ପ୍ରୟୋଗ ପୂର୍ବରୁ ଜମି ରୁ ପାଣି କାଟି ଦିଅନ୍ତୁ। ଔଷଧ ପ୍ରୟୋଗ କରିବାର ଦୁଇ ଦିନ ପରେ ଜଳସେଚନ କରନ୍ତୁ।,"Your question was how to control weeds in paddy. After 15-30 days of sowing or when the grass has 2 to 4 leaves, apply Bispyribac Sodium weedkiller available as Nominee Gold or Adora or Tata Tarak at 100 ml per acre in 200 liters of water. In the field broadleaf and mutha grasses were more common. Metsulfuron-methyl and Chlorimuron-ethyl combination herbicide available as Almix or Core Mix or Alvida was applied in 20-25 days after sowing. . Cut off water from the soil before applying herbicides. Irrigate two days after application."
53,"ଧାନ ଫସଲ ରେ ଘାସ ମରା ଔଷଧ, Narkis କେତେ ଲିଟର ପାଣିରେ କେତେ ମିଲି ଦିଆ ଯିବ। ",How many liters of water should be given in how many liters of water to kill weeds in paddy crops.,Weed management,,"ବୁଣା, ରୁଆ ଓ ତଳି ଧାନ ରେ ଦେଖା ଯାଉଥିବା ସମସ୍ତ ଘାସ ର ଦମନ ପାଇଁ ଏକର ଜମି ରେ 100 ମିଲି Narkis ତୂଣନାଶକ ଯାହାକି Bispyribac Sodium 10 % SC ଅଟେ 200 ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ଘାସ 4 ରୁ 5 ସେମି ହେଲା ପରେ ଧାନ ଜମିରୁ ପାଣି କାଟି ଏହି ତୂଣନାଶକ କୁ ପ୍ରୟୋଗ କରା ଯାଏ ପୁନଃ 3 ରୁ 4 ଦିନ ପରେ ପାଣି ଭରା ଯାଏ। ","Apply 100 ml of Narkis Fertilizer Bispyribac Sodium 10 % SC in 200 liters of water per acre for control of all weeds in paddy, paddy and paddy. After the grass is 4 to 5 cm tall, water is cut from the paddy field and this fertilizer is applied and watered again after 3 to 4 days."
54,ଖରା ଦିନେ ଦୁବ ଘାସ ହେଉଛି ଜମିରେ ତେବେ ଏବେ ହଳ କରିବା ଉଚିତ କି ନୁହେ ଏବଂ ଏହି ସମୟରେ ଖତ ଦେବା ନା ନୁହେ ନା ଯେତେ ବେଳେ ଆମେ କାଦୁଅ କରୁଛୁ ସେତେବେଳେ ଖାଦ୍ୟ ସାର ପ୍ରୟୋଗ କରିବା। ,"On a dry day, if there is grass in the land, should we plow now or not, and should we fertilize at this time, or should we apply food fertilizer when we are doing mud?",Weed management,Summer Ploughing,"ଆପଣଙ୍କ ବିଲ ରେ ଅତ୍ୟଧିକ ଧୁବ ଘାସ ହେଇଯାଇଛି, ବର୍ତମାନ ଖରାଟିଆ ଚାଷ କରିବା ଦ୍ଵାରା ଧୁବ ଘାସ ଗୁଡିକ ନଷ୍ଟ ହୋଇଯିବ ଓ ପରବର୍ତୀ ସମୟରେ କାଦୁଅ କରି ପାଣି ବାନ୍ଧି ଦେଲେ ଘାସ ଗୁଡିକ ଶଢି ଯାଇ ମାଟିରେ ମିଶି ସାର ଭାବରେ କାମ ଦେବ । ଧାନ ଫସଲ କରିବା ପୂର୍ବରୁ ଶେଷ ଓଡ ଚାଷ ସମୟରେ କମ୍ପୋଷ୍ଟ ବା ଗୋବର ଖତ ସହିତ ଅନୁମୋଦିତ ସାର ପ୍ରୟୋଗ କରି ଧାନ ରୋଇ ପାରିବେ। ","There is too much grass in your bill, the current tillage will destroy the grass, and next time you mow and water, the grass will rot and mix with the soil and act as fertilizer. Before paddy crop, paddy can be sown by applying approved fertilizers along with compost or cow dung during last tillage."
55,ଧାନ ଫସଲରେ ରାମକାଶିଆ ଘାସ ଓ ଧୁବ ଘାସ ପ୍ରବଳ ମାତ୍ରାରେ ଉଠୁଛି ଏହାର ଦମନ ପାଇଁ କି ଔଷଧ ବ୍ୟବହାର କରିବି କୁହନ୍ତୁ?,"Ramkashia grass and Dhub grass are growing strongly in paddy crop, what medicine should I use to control it?",Weed management,,ଧାନ ଫସଲରେ ବାରମାସୀ ଘାସ ଦମନ କରିବା ପାଇଁ ସମ୍ବନିତ ପ୍ରଣାଳୀରେ ଘାସ ଦମନ ଏକାନ୍ତ ଆବଶ୍ୟକ। ଏହି ଘାସର ଦମନ ପାଇଁ ଘାସମରା Cyhalofop butyl 10 EC ଯାହାକି ବଜାରରେ Clincher ନାମରେ ମିଳୁଛି ଏକର ପ୍ରତି 400 ମି. ଲି. 500 ଲିଟର ପାଣିରେ ମିଶାଇ ଫସଲର ପ୍ରାରମ୍ଭିକ ଅବସ୍ଥାରେ ସିଂଚନ କରନ୍ତୁ। ,"Weed control is essential for controlling perennial weeds in rice crops. The herbicide Cyhalofop butyl 10 EC, which is available in the market as Clincher, is applied at 400 ml per acre to control this weed. Ltd. Mix in 500 liters of water and irrigate the crop at early stage."
56,"ବୁଣାଯାଇଥିବା ଧାନ ବିଲରେ ଜୁଆଣିଆ, ଫୁଲିଆ ଓ ଘୋଡାନାନ୍ଦିଆ ଘାସର ନିୟନ୍ତ୍ରଣ ପାଇଁ କେଉଁ ରାସାୟନିକ ଔଷଧ ପ୍ରୟୋଗ କରିବାକୁ ପଡିବ ଓ ଗଛ ମଧ୍ୟ ଭଲ ରହିବ? ","What chemicals should be applied to control weeds, grasses and horsetail weeds in planted rice fields and the plants will survive?",Weed management,,"ବୁଣାଯାଇଥିବା ଧାନ ବିଲରେ ଯଦି ଜୁଆଣିଆ, ଫୁଲିଆ ଓ ଘୋଡାନାନ୍ଦିଆ ଘାସ ଦେଖାଯାଏ ତାହେଲେ ଏହାର ନିୟନ୍ତ୍ରଣ ପାଇଁ ବୁଣିବାର 15-20 ଦିନ ମଧ୍ୟରେ ହେକ୍ଟର ପ୍ରତି 60 ଗ୍ରାମ triafamone + ethoxysulfuron ନାମକ ଘାସମରା ଔଷଧ ପ୍ରୟୋଗ କରନ୍ତୁ । Floodjet nozzle ସାହାଯ୍ୟରେ ହେକ୍ଟର ପ୍ରତି  500 ଲିଟର ପାଣି  ପ୍ରୟୋଗ କରି ଉପଯୁକ୍ତ ଆର୍ଦ୍ରତା ସୁନିଶ୍ଚିତ କରନ୍ତୁ । ","If young, flowering and horsetail grass appear in the sown paddy fields, then apply triafamone + ethoxysulfuron 60 grams per hectare within 15-20 days of sowing to control it. Ensure adequate moisture by applying 500 liters of water per hectare with the help of Floodjet nozzle."
57,ଧାନ ଗଛରେ ପ୍ରବଳ ମାତ୍ରା ରେ ଝିପା ଲଟା ଧାନ ଲଟା ଜାତୀୟ ଘାସ ଉଠୁଛି ତେଣୁ ଏହାର ଦମନ ପାଇଁ କେଉଁ ଘାସମରା ଔଷଧ ବ୍ୟବହାର କଲେ ହବ?,So what herbicides should be used to suppress the rice plants in high doses?,Weed management,,ଧାନ ଗଛରେ ପ୍ରବଳ ମାତ୍ରାରେ ଝିପା ଲଟା ଘାସର ପରିଚାଳନା ପାଇଁ ଘାସ ଆରମ୍ଭ ସମୟରେ ଫ୍ଲଡ ଜେଟ ନୋଜୋଲ  ବ୍ୟବହାର କରି ଏକର ପିଛା 400 ମିଲି cyhalofop butyl  ନାମକ କୀଟନାଶକ ଯାହାକି clincher ନାମରେ ମିଳୁଛି 200 ଲିଟର ପାଣିରେ ମିଶେଇ ସିଂଚନ କରନ୍ତୁ । ,"To control heavy infestations of wheatgrass in paddy, spray 400 ml of cyhalofop butyl, also known as clincher, in 200 liters of water per acre using a flood jet nozzle at grass initiation."
58,"ଧାନ ତଳି ରୋଇବାର ଦୁଇ ମାସ ହେଇଗଲାଣି ପିଲ ସାର ଦିଆହେଇଛି, ଜମିରେ ଛୁଞ୍ଚି ଭଳିଆ ଘାସ ପ୍ରବଳ ମାତ୍ରାରେ ଉଠୁଛି। ଏହାର ଦମନ ପାଇଁ କି ଔଷଧ ବ୍ୟବହାର କରିବାକୁ ପଡିବ କହିବେ?","It has been two months since the paddy field has been sown, the manure has been applied, and the needle-like weeds are growing vigorously on the land. Do you have to use medicine to suppress it?",Weed management,,ଗଛ ଲାଗିବାର 60 ଦିନ ପରେ କୌଣସି ଘାସନାଶକର ପ୍ରୟୋଗ କରିବା ଅଧିକ ଫଳପ୍ରଦ ନୁହେ। ତେଣୁ ଯନ୍ତ୍ର ଦ୍ଵାରା କିମ୍ବା ହାତ ଦ୍ଵାରା ଘାସ ବାଛନ୍ତୁ। ,No herbicide application is effective after 60 days of planting. So pick hay either by machine or by hand.
59,ଧାନ ଫସଲରେ ରାମକାଶିଆ ଘାସ ଓ ଧୁବ ଘାସ ପ୍ରବଳ ମାତ୍ରାରେ ଉଠୁଛି ଏହାର ଦମନ ପାଇଁ କି ଔଷଧ ବ୍ୟବହାର କରିବି କୁହନ୍ତୁ?,"Ramkashia grass and Dhub grass are growing strongly in paddy crop, what medicine should I use to control it?",Weed management,,ଧାନ ଫସଲରେ ବାରମାସୀ ଘାସ ଦମନ କରିବା ପାଇଁ ସମ୍ବନିତ ପ୍ରଣାଳୀରେ ଘାସ ଦମନ ଏକାନ୍ତ ଆବଶ୍ୟକ। ଏହି ଘାସର ଦମନ ପାଇଁ ଘାସମରା Cyhalofop butyl 10 EC ଯାହାକି ବଜାରରେ Clincher ନାମରେ ମିଳୁଛି ଏକର ପ୍ରତି 400 ମି. ଲି. 500 ଲିଟର ପାଣିରେ ମିଶାଇ ଫସଲର ପ୍ରାରମ୍ଭିକ ଅବସ୍ଥାରେ ସିଂଚନ କରନ୍ତୁ। ,"Weed control is essential for controlling perennial weeds in rice crops. The herbicide Cyhalofop butyl 10 EC, which is available in the market as Clincher, is applied at 400 ml per acre to control this weed. Ltd. Mix in 500 liters of water and irrigate the crop at early stage."
