English Word,Part of Speech,Odia Translation
 beware , Verb ," ନେଇୟାଂ ତିଙ୍କ, କିସ୍‌ ଓଏ ମେସ୍ମା "
 bewilderment , Verb , କାଣ୍ଡ କିଙ୍‌ ଆକାଡ଼୍‌ ତୋଣ୍ଡ 
 bid , Verb , ନୀଲାମ୍‌ 
 bid in a chit or a lottery , Noun ," ଜେଟ୍‌, କାଳିୟି ଓଟା ନାଡୁମେ "
 bier , Noun , ଗାୟା 
 big , Adjective , ୬୯୪ି 
 big drops , Noun , ବଡ଼ା ବଟ୍‌ କ୍‌ 
 big rope , Noun , ଜୋରା 
 bigotry , Noun , ଧର୍ମାନ୍ତର୍‌ ପ୍ରତିଷ୍ଠା 
" bill hook, chopper ", Noun , ବାଣ୍ଡା କାଚେର୍‌ 
 billhook , Noun , କାର୍‌ 
 bind with rope , Verb , ତାଳି ତକୁଡ଼େ 
 ତାନାଦ୍‌ , Noun , ଅଜାଣୁ 
 bird , Noun , ପକ୍ଷୀ 
 birth , Noun , ଜନ୍ମ 
 birth control , Noun , ଜନ୍ମ ନିଯୋଜନ 
 ଆଡାମ୍‌ ତୁଙ୍ଗାନାଦ୍‌ , Noun , ଟୋପା ପକ୍ଷୀ 
 birthday , Noun , ଜନ୍ମଦିନ 
 birthday ceremony , Noun , ଜନ୍ମଦିନ ଉତ୍ସବ 
 bishop , Noun , ବିଷ୍ପ 
 ମାନ୍ଦାନ୍‌ ଗୁଡ଼ିୟ୍‌ କିନ୍‌ ଆଦିକାରାମ୍‌ ତ୍‌ ବେଡ଼ିୟା , Noun , ମାନସିକ ଶିକ୍ଷା କେନ୍ଦ୍ର 
 ଦାର୍ମାମ୍‌ ତ୍‌ , Noun , ଯୋଗଶାଳା 
 bison , Noun , ମହିଷ 
 — , Noun , — 
 bitch bird , Noun , କାଳିଆ ପକ୍ଷୀ 
 bite , Verb , କାଟିବା 
 bitter , Adjective , ତୀଖା 
 bitter gourd , Noun , କରକରା 
 bitter plant , Noun , ତୀଖାପାତ 
 ପତାଲା , Noun , କାଳା ମଶୀଷା 
 black ant , Noun , କାଳା ପୋକରା 
 ପେତେ , Noun , କାଳିଆ ଜାମୁ 
 black berry , Noun , କାଳିଆ ଜାମୁ 
 black berry-tree , Noun , କାଳିଆ ଜାମୁ ଗଛ 
 ମାଡ଼ା , Noun , କାଳିଆ ମୃଗ 
 black buck , Noun , କାଳିଆ ହରିଣ 
 black cloud , Noun , କାଳିଆ ମେଘ 
 black colour , Noun , କାଳା ରଙ୍ଗ 
 black cumin seed , Noun , କାଳିଆ ଜୀରା 
 black drongo bird , Noun , କାଳିଆ ଡ୍ରୋଙ୍ଗୋ ପକ୍ଷୀ 
 black faced monkey , Noun , କାଳିଆ ଵାନର 
 ଜୁ , Noun , କାଳା ହଂସ 
 black gram , Noun , କାଳିଆ ମାଷ 
 black myrobalam tree , Noun , କାଳିଆ ହରଡ଼ 
 karka , Noun , କାର୍କା AGI 
 black pepper , Noun , କମାଟ୍‌ ଗିଞ୍ଜା 
 black soil , Noun , କାରି ମାଣୁଲ୍‌ 
 black-heads , Noun , ମକାମ୍‌ ତା କାର୍ରି ବଣ୍ଢିଆ 
 blacksmith , Noun , କାମ୍ମାର୍‌ 
 blame , Verb , ନେରାମ୍‌ ଭଦାନାଦ୍‌ 
 blanket , Noun , ଦୁପ୍‌ ଡି କମ୍ବଲ 
 blaspheme , Not Available ," ଦାର୍‌ମାମ୍‌ ଇଲୁକ୍‌ ଦାର୍‌ ମିକ୍‌ ନାରିନ୍‌ ପାଶ୍‌ କାନାଦ୍‌,ପେର୍ଲାନାଦ୍‌,ନେରାମ୍‌ ମାଡ଼ାନାଦ୍‌ "
 blazing fire , Adjective , @41Q କିସ୍‌ 
 bleats , Noun , 6AIQ ମେ କା ମେଁ ମେଁ କେଇତା 
 bleeding , Verb , CHRO କାରାନାଦ୍‌।ପଙ୍ଗାନାଦ୍‌ 
 bless , Verb , ଆସୀର୍ଧାଦାମ୍‌ ସାୟାମ୍‌ ମାଡ଼ା 
 blew away , Verb , ତୁୱ୍‌ ତାନାଦ୍‌ 
 blew up , Verb , ପିଟେ ପାରିସାନାଦ୍‌ 
 blind lady , Noun , JER ନାଟାଡ଼ 
 blind-man , Not Available , ଗୁଡ଼ି ଏଣ୍ଡ 
 blister , Noun , ଗାଡା ପେୟ୍‌ ତ୍‌ 
 blood , Noun , ନେତୂର୍‌ 
 blood pressure , Noun , 6EQQ ଜୀୱା ତାଗେ ଆଦ୍‌ ମାନାଦ୍‌ ନାର୍କେ କାମ୍‌ ଆଦାନ୍‌ ରୋଗାମ୍‌ 
 blossoming , Verb , Q&IQ QQ ଭା 
" blot,spot ", Noun , ପାଲ୍‌ Ge 
 blotch , Noun , କାର୍ରି ରାଙ୍ଗିନାଦ୍‌ QR କା 
 blouse , Noun , ରେୟ୍‌ କ୍‌ କେ 
 blow as the wind , Verb , ଗାଲ୍‌ ତୋଲାନାଦ୍‌ 
 blow down , Verb , ରାଲି 
 blow out , Verb , ପିଚ୍‌ ଚିଦାନାଦ୍‌ 
 blow up , Verb , ଧୂମ୍‌ ଉଡ଼ିସାନାଦ୍‌ 
 blow whistle , Verb , ପିଲ୍‌ ଉସଡ଼ 
 blow(air) , Verb , ଉଦାନାଦ୍‌ 
 blowing the nose , Verb , ସିଇନ୍ଦା 
 blowpipe , Noun , ଗୋଣ୍ଡଟାମ୍‌ 
 blue colour , Noun , ଫୀକା ନୀଳ 
 blunt , Adjective ," ଗାଣ୍ଡି, ବକଲି "
 boar , Noun , ଆଡ଼୍‌ ଓ୍‌ ତ୍‌ ପାଦ୍‌ 
 board , Noun , ରୁଟି ରାକାନ୍‌ ସିରି 
" board, plank ", Noun , ବାକି 
 boast , Verb , ଗାଢ଼୍‌ ଶ୍‌ ଆଶ୍‌ ନିଲ୍‌ ସାନାଦ୍‌ 
 boastful , Adjective , ହୁଙ୍କାରୀ 
 boat , Noun , ନାଉ 
 body , Noun , ଶରୀର 
 boiling , Verb , ଉବ୍ର୍ତ୍ତ 
 boils in the body , Verb , କାଳା ତୃଣା 
 boisterous , Adjective , ଉତ୍ତେଜିତ 
 bold , Adjective , ନ୍ୟାଣ୍ଡି 
 boldness , Noun , ଦୀର୍ଘତା 
 bolster , Noun , ପୋଡ଼୍‌ ଗ୍‌ ତାଲ୍‌ ପ୍‌ ଗାଡ଼୍‌ 
 bolt , Noun , କୋଇଲା 
 bomb , Noun , ବମ୍ବ 
 bone , Noun , ହାଡ଼ 
 booby , Noun , ବାୟାଲ୍‌ 
 book , Noun , ବହି 
 bore fruit , Verb , ଫଳ ହେଉଛି 
 born , Verb , ତାଦ୍‌ 
 born again , Adjective , 6AEBIR 
 born blind , Noun , କାନାଲୋର୍‌ 
 borrow , Verb , ବାକି ତାଭାନାଦ୍‌ 
" boss,master ", Noun , ମାଲିକ୍‌ 
 both..... and , Correlative Connective , ଇଦ୍‌ ନୂ ଆଦ୍‌ 
 bottle ` , Noun , ଏର୍‌ ତାସାନ୍‌ ଡାବା 
 bottle gourd , Noun , ବୁର୍କ୍‌ କାୟା 
 bottom , Adverb , ଆଡୁଗେ 
 bouquet of flowers , Noun , ପୁଙ୍ଗାର୍‌ 
 bow , Noun , ଞ୍ଲ୍‌-ଞିଲ୍‌ କୁ 
 bow down , Verb , ମାଡ଼୍‌ କି Ag 
 bowl , Noun , GE 
 bowstring , Noun , ନାରେମ୍‌ 
 box , Noun , ପେଟି 
 boy , Noun , ପେକାଲ୍‌ 
 boyhood , Noun , ପିଲାନ୍‌ 
 bracelet , Noun , AIG 
 braidinghair , Noun , ଜାଡ଼ା ଓାଟାନାଦ୍‌ 
 brain , Noun , ମେଦର୍‌ 
 branch of a tree , Noun , ଗାଲାନ୍‌ 
 branchout , Noun , କମ୍‌ ମା ଆଦାନାଦ୍‌ 
 brass , Noun , ଭତେଲ୍‌ 
 brass basin , Noun , ଗିନି ପିଲ୍‌ ଲା 
 brass ware , Noun , କାନ୍‌ ସ୍‌ QE 
 brass water pot , Noun , @6@ କୁଣ୍ଡା 
 bravery        , Noun           , ଦେୟୋର୍୍‌ ତାଦ୍‌ 
 bravo           , Interjection  , ଓ 
 bread           , Noun           , ରୁଟି 
 break away     , Verb            ,     
 ଦେଙ୍ଗାନ୍ଦାନାଦ୍‌    , Noun           , ମିରାନା ଦ୍‌ 
 break down     , Verb           , AF ଆ ନ୍ଦାନାଦ୍‌ 
 break fast     , Noun           , 6@Q ସେଟ୍‌ ଦଡ଼ା 
 break forth(out), Verb           , AIG କେ ସାଟ୍‌ କେ ତୋପାନାଦ୍‌ 
 break into     , Verb           , ବେଦ୍‌ ରିସି alg କେ (ନୀ) ନେଙ୍ଗାନାଦ୍‌ 
 break into pieces , Verb      , AQE ତା 
 break open     , Verb           , ଉଚ୍‌ ଛି ଟେଣ୍ଡାନାଦ୍‌ 
 break the egg  , Verb           , ଗାର୍ବାମ୍‌ ଅମ୍‌ 
 break up coconut , Verb         , ନାଡେଲ୍‌ କାୟ୍‌ ଉତାନାଦ୍‌ 
 break up radio , Verb           , ରେଡିୟ ଉଚ୍ଚିଭର୍‌ 
 break with     , Verb           , ବେନୋନାଗା କୁଞି ସାଙ୍ଗ ର୍‌ ସ୍‌ ପାନାଦ୍‌ 
" break,snap     ", Verb           , ଉତାନାଦ୍‌ 
 breast          , Noun           , ରୋମ୍‌ କ୍‌ 
 breath          , Noun           , 6@Q କା ଆଞେସାମ୍‌ 
 breathing      , Noun           ," 64, କାଡ଼୍‌ "
 breeze          , Noun           , ସାଲାଙ୍ଗ ଗାଲ୍‌ 
 bricks          , Noun           , ଇଟା 
 bridal `        , Noun           , ପେଣୁୁଲ୍‌ ତା ମାଟା 
 bride           , Noun           , କୋକାଡ଼୍‌ 
 bride groom     , Noun           , କୋକୋଣ୍ଡ 
 bridge          , Noun           , $@ 
 bridles         , Noun           ," ମୋକୁମ୍‌, ପାଗାମ୍‌ "
 briefly        , Adverb        , ମୁକ୍‌ କା ମୁକ୍‌ କା ଚିନ୍ନା ତୁଙ୍ଗା QEmI Ag! 
" bright ,shine ", Adjective , ଗୋଙ୍ଗ୍‌ 
 brightness , Noun , ଜିଗ୍‌ ଜାଗ୍‌ 
 brim with tears , Noun , କିଡ଼୍‌ କାଡ଼୍‌ ଆତ୍‌-କାଣ୍ଟ କ୍‌ କାଣ୍ଟ କ୍‌ ପୟ୍‌ ତ୍‌ 
 bring , Verb , ତାରାଁ 
 bring about , verb , ଜାର୍ଗିସାନାଦ୍‌ 
 bring back , Verb , ମାଲ୍‌ ସି ତାଭାନାତ୍‌ 
 bring in , Verb , ଓାଟାନାଦ୍‌ 
 bring on , Verb , ତେୟାର୍‌ ମାଡ଼ାନାଦ୍‌ 
 bring out , Verb , ତୋପିସାନାଦ୍‌ 
 bring round , Verb , ରୋଗାମ୍‌ କୁଞ୍ଜୁ ସାୟାମ୍‌ ମାଡ଼ାନାଦ୍‌ 
 bring under , verb , ଗାର୍ରେ ତାନ୍‌ ae ପେ ତାଭାନାଦ୍‌ 
 bring up , Verb , ପେର୍‌ ପିସି ପୋର୍‌ ପାନାଦ୍‌ 
 brinjal , Noun ," ଗିଗ୍‌ କାୟା, ଆପନା "
 brinjal curry , Noun , ଆପନା କୁଚିର୍‌ 
 brisk , Adjective , ଚାଲାକ 
 broad , Adjective , ଞେଲ୍‌ ପ୍‌ 
 brocade silk , Noun , ଜୀର୍‌ ଗେଲ୍‌ ଗୁଡ଼ା 
 broken = , Verb , ଭରଙ୍ଗ୍‌ ତା 
 broken pot , Adjective , କିଲ୍‌ ଡୋକ୍‌ 
 bronches , Noun , ଷେରିଫିଆ ନେସ କାନ୍‌ ଗୋଣ୍ଠାମ୍‌ 
 bronchitis , Noun , ଡାଗ୍‌ ପାଣ୍‌ ସେମ୍‌ 
 bronze , Noun , ପିତାଲ୍‌ କାଞ୍ଚ୍‌ 
 broom , Noun , ଏପୁରି 
 brother in law , Noun , ସିଗିର 
 brown colour of hair , Noun , ରାଗ୍‌ କେଲ୍‌ କୁ ଆତ୍‌ 
 bruise , Noun , ରାଲ୍‌ GIQY 
" bruise,cicatric ", Noun , ଗାସ୍‌ ରାମ୍‌ 
 , , ତ୍‌ ମାର୍ରା ପୁଟିତ୍‌ 
 brush , Noun , gq 
 brush the teeth , Verb , ପାଲ୍‌ କାର୍‌ 
 , ," ତମା, ତୁଙ୍ଗା "
 bubble , Noun , ବର୍‌ GR ପେତିତ୍‌ 
 bubbling , Verb , AVR ଏାଦାନାଦ୍‌ 
 buck , Noun , ପୋତ୍‌ RA 
 bucket , Noun , ବାଲ୍‌ ଟି 
 bud , Noun , ୬ ମଡ଼ିତ୍ତା ମଗ୍‌ ଗା 
 bud germ , , ` ?/୨///. ମୋକେ ପେତା 
 bud rose , Noun , AE ପୁଙ୍ଗା 
 buffalo , Noun , ଗେଦି-ବାରେ 
 buffalo-cart , Noun , ବାରେନ୍‌ ବାଣ୍ଡ 
 buffaloes , Noun , ଗେଦେ 
 buffalo-female , Noun , ଡାଡିବାରେ 
 bugler , Noun , କମ୍‌ AGIEAIQ 
 build , Verb ," ତେଢିମ୍‌,ତେତାନାଦ୍‌ "
 buildings , Noun , ତାଲାକ୍‌ 
 , ," ଲୋନ୍‌,ପରଟ୍‌ ତାଲା "
 bulbous root , Noun , ld 
 bull , Noun , Alge 
 bullock , Noun , କୋନ୍ଦା 
 bullock cart , Noun , କୋନ୍ଦା ଗଡ଼୍‌ 
 , , ag 
 bunch , Noun , ଗେଲେ ଜୋପା 
 , Adjective , ql 
 , , ତୁମ୍ବା ମାନ୍ଦାନାଦ୍‌ 
 bundle , Noun ," ମୁଟା,କାଟା "
 bundle of grain , Noun , ଓାଞିା କାଟା 
 bundle of grainswood , Noun , ଓେରିକିନ୍‌ ମୋପ୍‌ 
 bundle of paddy , , ^/୨//.. ମେଦେ 
" bundle of sticks, wood ", Noun , ସର୍କିନ୍‌ ମୋପ୍‌ 
" bundle up 11 saree, wrap, encircling ", Verb , ଉଭାନାଦ୍‌ 
 bungalow , Noun , ମେଡା ମେଡ଼ା ଲୋନ୍‌ 
 burned up , Verb ," ଞେଭା, ଞେମ୍‌ "
 burning , Verb , Adel 
 burning coal , Noun , ତାଡ଼ମେ 
 burning (fire) , Adjective ," ନିର୍ଷୋମିନ୍ଦେ (କିଶ୍‌), ମାଣ୍ଡମିନ୍ଦେ "
 burst , Verb ," FSC, ପୋକିତା "
 burst forth , Verb , AIG କେ ପେୟ୍‌ ସି ତୋପାନାଦ୍‌ 
 burst out , Verb ," AIG କେ ରାମ ତୁଙ୍ଗାନାଦ୍‌, ଆଦାନାଦ୍‌, ପକ୍‌ କାନାଦ୍‌ "
 burst upon , Verb ," AIG କେ Ge ସାନାଦ୍‌, ରେତାନାଦ୍‌ "
 bury , Verb , ମିଚ୍ଚାନାଦ୍‌ 
 bus , Noun , @Q 
" bush, shrub ", Noun , 6AIGINI 
 business , Noun , ଏପାରାମ୍‌ 
 busy , Adjective ," MAl ଗାପା, ଦାନ୍ଦା ag ସି "
 but , Coordinating connective , ମାତ୍ରାମ୍‌ 
 butcher , Noun , ଆଙ୍ଗ୍‌ କୟ୍‌ ସି ଆମ୍‌ ମାନୋଣ୍ଟ 
 butt , Verb , କଟାଭା 
 buttocks , Noun , ଗୁରାପେଣ୍ଡା 
 button           , Noun           , କୁସାମ୍‌ ବିଲା 
 buy              , Verb           , ଆଶ୍‌ ଶାନାଦ୍‌ 
 by               , Preposition    , ଟୋଣ୍ଡେ 
 by chance        , Adverb         , ଜତି ଆକେ 
 by day           , Preposition    , ପାୟାଲେ 
 cabbage          , Noun           ," ମୁଟ୍‌ ଲା କୋବି, ପୁଲକବି "
 cabin ate ware   , Noun           , ଞେର୍‌ କିନ୍‌ ସାମାନ୍‌ 
 cacophony        , Noun           , କେଞ୍ଜାନାଙ୍କ୍‌ କାରାପ୍‌ GA 
 cactus           , Noun           , ବାଲା ଏଟ୍‌ କ୍‌ 
 calabash          vegetables     , Noun           , ଜାଙ୍‌ଗ୍ କାୟା 
 calamity         , Noun           ," ସାଟ୍‌ କେ ନାଷ୍ଟାମ୍‌, କାଷ୍ଟାମ୍‌ ଞାଦାନାଦ୍‌ "
 calf             , Noun           , ପେୟ୍‌ ୟା ପିଲ୍‌ ଲା 
 call             , ୮୮୮୮         ," କାରୁଙ୍କାନାଦ୍‌, ରାମ୍ ତୁଙ୍ଗାନାଦ୍‌ "
" call at, call on, call upon ", Verb ," ସୁଡ଼ୂଟ୍‌ ସାମାୟାମ୍‌, ସେଙ୍ଗେ କାଲିୟାନାଙ୍କ୍‌, ଆନ୍ଦାନାଦ୍‌ "
 callin           , Verb           , କାର୍‌ ଘିଂସାନାଦ୍‌ 
 call out         , Verb           , ବେଢ଼ିୟା EME ତେ କାର୍‌ ଙ୍ଗାନାଦ୍‌ 
 callup           , Verb           ," ଏଦ୍‌ କି GAIA, ମାଡ଼ାନାଦ୍‌ "
 calm             , Adjective      ," ସାମ୍‌ କ୍‌, କଟ୍ଟ ମାନ୍ଦାନାଦ୍‌ "
 caltrops tree    , Noun           , ବଗ ଜିଲ୍‌ ଢ୍‌ 
 camel            , Noun           , ଲୋଟପିଟେ 
 by day train , Preposition , ପାୟାଲ୍‌ 
 ତ୍‌ ରେଲ୍‌ ବାଣ୍ଡି ତେ ,   ,  
 by me , Preposition , ନା ସେଙ୍ଗେ 
 by means of , Preposition , ସାଙ୍ଗେ 
 by money , Adverb , ପାଇସାତେ 
 camera men , Noun , ପୁଟୁଏଁ ଡିପାନଣ୍ଡ 
 can , Verb , ପାର୍ଚା 
 can not spread hand , Verb , କାୟ୍‌ ଓଁରୋ 
 can't , Verb ," 2m, ale "
 canal , Noun , AN କା 
 cancel , Verb , ତେତାନାଦ୍‌ 
 cancer , Noun , କେନ୍‌ ସାର୍‌ ରୋଗାମ୍‌ 
 candle , Noun , ମୋବଭି 
 cane stick , Noun , ପେଦାତୁଡ୍‌ 
 canine tooth , Noun , ବେରାଁ ପାଲ୍‌ 
 cap , Noun , ଟୋପ୍‌ 
 card as hair , Noun , ଲେତ୍‌ ତାଓାଲ୍‌ 
 card game , Noun , ପେକ୍‌ କ ଆଟା 
 careful , Adjective , ଚେତୁର୍‌ ଆଦାନାଦ୍‌ 
 carefully , Adverb , ଚେତୁର୍ତେ 
 careless , Adjective , ଏକ୍‌ ମେରେ 
 careless man , Noun , ପାର୍ବୋତୁଲ୍‌ 
 carious tooth , Noun , କୁଳୁତା ପାଲ୍‌ 
 carp , Noun , ପୋଟ୍‌ କୀକେ 
 carpenter , Noun , ଓାଡ଼୍‌ ଲାଲ୍‌ 
 carpet , Noun , କାଲ୍‌ ଉନ୍‌ ଶ୍‌ ପାନାଦ୍‌ ଦୁଲପାତାମ୍‌ 
 carrot , Noun , MAI ମାଟି  
 carry away , Verb , ତୀସି 603 
 by talk , Adposition , ଗଟ୍‌ 
 by work , Adposition , ଗଟ୍‌ 
 AIGA , Noun , ଦେ 
 by walk , Verb , ନାଡ଼୍‌ ସ୍‌ ନାଡ଼୍‌ ସ୍‌ 
 by way of , Preposition , ad 
 GGERIER , Noun , କେତ୍ତାନ୍‌ 
 ଞ୍ଞୋଦାନାଦ୍‌ , Noun , ଞ୍ଞୋଦାନାଦ୍‌ 
 carry on , Verb ," ନାତୃପିସା,ନାତୁସ୍‌ "
 ପାନାଦ୍‌ , Noun , ପାନାଦ୍‌ 
 carry on shoulder , Noun , କାଞ୍ଜାନାଦ୍‌ 
 carry out , Verb , ମାଟା ପୟ୍‌ ସି ପାଡ଼ିୟ୍‌ 
 ମାଡ଼ାନାଦ୍‌ , Noun , ମାଡ଼ାନାଦ୍‌ 
 carry the things on head , Verb , ତୋଞ୍ଚି ସୋଦାନାଦ୍‌ 
 carrying , Verb ," ମୋସାନାଦ୍‌,ତୋସାନା ଦ୍‌ "
 carrying load , Verb , ପୂହ -ତ୍‌-ବାୱ୍‌ କାଞ୍ଜାନାଦ୍‌ 
 cashew nut , Noun , ଜିଡ଼୍‌ ମାମିଡ଼୍‌ 
" cassava plant,tapioca ", Noun , GQl¢Il ମାଡ଼ା 
 cast away water , Verb ," NQ ଲସ୍‌ କାନାଦ୍‌ ,ପଚାନାଦ୍‌ "
 cast one's net , Verb ," ଏସ୍‌ ତାନ୍‌,ଏସାନାଦ୍‌ "
" castle,wall ", Noun ," ଦାଡ଼ିୟ୍‌,ନେଟା "
 castor oil , Noun , ନେରୋଣେ ମାଡ଼ା ନୀୟ୍‌ 
 cat , Noun , ଷେର୍‌ କାଡ଼୍‌ 
 cat MEWS , Noun , ଞେୟ୍‌ Gl ଞେୟ୍‌ ସ୍‌ CAMA! 6GQ GIE 
 cataract of the eye , Noun , ପାରା 
 pay , Noun , ପୟ୍ ତ୍‌ 
 catch , Verb , ୮୮୮. ପୟ୍‌ ମ୍‌ 
 caterpillar , Noun , ବୁଇନ୍ଦେ Qe 
" caterpillar, worms ", Noun , ଚୁଡ଼ୂଲାପୁଡି 
 cattle , Noun ," ASH, Sa କା "
 cauldron , Noun , କଡ଼େଇ 
 cauliflower , Noun , ପୂଲ କୋବି 
 cause to get out , Verb , ପେସ୍‌ 
 dag , Noun , ପିସାମିନ୍ଦାନ୍‌ 
 cause to move , Verb , ଜାର୍ଗିସାନାଦ୍‌ 
 cause to move by hand , Noun , କାୟ୍‌ ଦେ GIGI. ପିସାମିନ୍ଦାନ୍‌ 
