English Word,Part of Speech,Odia Translation
 brass basin , Noun , ଗିନି ପିଲ୍‌ ଲା 
 brass water pot , Noun , କୁଣ୍ଡା 
 bravery        , Noun               , ଦେୟୋର୍୍‌ ତାଦ୍‌       
 bread          , Noun               , ରୁଟି            
 breakfast      , Noun               , ସେଟ୍‌ ଦଡ଼ା       
 breast         , Noun               , ରୋମ୍‌ କ୍‌       
 breath         , Noun               , ଆଞେସାମ୍‌ କା     
 breathing      , Noun               , କାଡ଼୍‌           
 breeze         , Noun               , ସାଲାଙ୍ଗ ଗାଲ୍‌   
 bricks         , Noun               , ଇଟା             
 bridal         , Noun               , ପେଣୁୁଲ୍‌ ତା ମାଟା 
 bride          , Noun               , କୋକାଡ଼୍‌        
 bride groom    , Noun               , କୋକୋଣ୍ଡ          
 bridge         , Noun               ,                   
 bridles        , Noun               ," ମୋକୁମ୍‌, ପାଗାମ୍‌ "
brightness,Noun,ଜିଗ୍‌ ଜାଗ୍‌
brim with tears,Noun,କିଡ଼୍‌ କାଡ଼୍‌
brocade silk,Noun,ଜୀର୍‌ ଗେଲ୍‌ ଗୁଡ଼ା
broken pot,Noun,କିଲ୍‌ ଡୋକ୍‌
bronchitis,Noun,ଡାଗ୍‌ ପାଣ୍‌ ସେମ୍‌ ନେଲାନାଦ୍‌ ନେସ
bronze,Noun,ପିତାଲ୍‌ କାଞ୍ଚ୍‌
broom,Noun,ଏପୁରି
brown colour of hair,Noun,ରାଗ୍‌ କେଲ୍‌ କୁ ଆତ୍‌
" cicatrix, cicatric bruise ", Noun , ଗାସ୍‌ ରାମ୍‌ 
 brush        , Noun           ," ତମା, ତୁଙ୍ଗା        "
 bucket       , Noun           , ବାଲ୍‌ ଟି       
 buffalo      , Noun           , ଗେଦି-ବାରେ     
 buffalo-cart , Noun           , ବାରେନ୍‌ ବାଣ୍ଡ   
 buffaloes    , Noun           , ଗେଦେ          
 buffalo-female , Noun        , ଡାଡିବାରେ     
 building     , Noun           ," ତାଲାକ୍‌ ଲୋନ୍‌, ପରଟ୍‌ ତାଲା  "
 bulbous root , Noun           , ମାଟି           
 bull         , Noun           , ଆମ୍ବତ୍‌        
 bullock      , Noun           , କୋନ୍ଦା        
 bullock cart , Noun           , କୋନ୍ଦା ଗଡ଼୍‌ ବାଣ୍ଡି 
 bunch        , Noun           , ଗେଲେ ଜୋପା      
 bundle       , Noun           ," ମୁଟା, କାଟା     "
 bundle of grain , Noun        , ଓାଞିା କାଟା     
 bundle of grainswood , Noun   , ଓେରିକିନ୍‌ ମୋପ୍‌ 
 bundle of paddy , Noun       , ମେଦେ           
" bundle of sticks, wood ", Noun , ସର୍କିନ୍‌ ମୋପ୍‌ 
 bungalow , Noun , ମେଡା ମେଡ଼ା ଲୋନ୍‌ 
 burning coal , Noun , ତାଡ଼ମେ 
 bury , Noun , ମିଚ୍ଚାନାଦ୍‌ 
 business , Noun , ଏପାରାମ୍‌ 
 butcher , Noun , ଆଙ୍ଗ୍‌ କୟ୍‌ ସି ଆମ୍‌ ମାନୋଣ୍ଟ 
 butt , Noun , ମଗମିନ୍ଦେ ୮୮୪୮ 
 butterfly , Noun , ଗୁଗି 
 buttocks , Noun , ଗୁରାପେଣ୍ଡା 
 button , Noun , କୁସାମ୍‌ ବିଲା 
 cabbage , Noun ," ମୁଟ୍‌ ଲା କୋବି, କବି, ପୁଲ "
 cabin ate ware , Noun ," ଞେର୍‌ କିନ୍‌, ସାମାନ୍‌ "
 cactus , Noun ," ବାଲା, ଏଟ୍‌ କ୍‌ "
 calabash vegetables , Noun ," ଜାଙ୍ଗ୍‌, କାୟା "
 calamity , Noun ," ସାଟ୍‌ କେ, ନାଷ୍ଟାମ୍‌, କାଷ୍ଟାମ୍‌ ଏାଦାନାଦ୍‌, କାଷ୍ଟାମ୍‌ ଞାଦାନାଦ୍‌ "
 calf , Noun , ପେୟ୍‌ ୟା ପିଲ୍‌ ଲା 
 caltrops tree , Noun , ବଗ ଜିଲ୍ଲା ଢ୍ୟୁରେ 
 camel , Noun , ଲୋଟପିଟେ 
 camera men     , Noun             , ପୁଟୁଏଁ ଡିପାନଣ୍ଡ 
 canal          , Noun             , କା               
 cancer         , Noun             , କେନ୍‌ ସାର୍‌ ରୋଗାମ୍‌ 
 candle         , Noun             , ମୋବଭି            
 cane stick     , Noun             , ପେଦାତୁଡ୍‌         
 canine tooth   , Noun             , ବେରାଁ ପାଲ୍‌      
 cap            , Noun             , ଟୋପ୍‌            
 card game      , Noun             , ପେକ୍‌ କ ଆଟା      
 careless man   , Noun             , ପାର୍ବୋତୁଲ୍‌      
 carious tooth  , Noun             , କୁଳୁତା ପାଲ୍‌   
 carp           , Noun             , ପୋଟ୍‌ କୀକେ        
 carpenter      , Noun             , ଓାଡ଼୍‌ ଲାଲ୍‌     
 carpet         , Noun             , କାଲ୍‌ ଉନ୍‌ ଶ୍‌ ପାନାଦ୍‌ 
 carrot         , Noun             , ଏରାଁ ମାଟି         
 carry on shoulder , Noun , କାଞ୍ଜାନାଦ୍‌ 
 cashew nut , Noun , ଜିଡ଼୍‌ ମାମିଡ଼୍‌ 
" cassava plant, tapioca ", Noun , ସୋମା ମାଡ଼ା 
" castle, wall ", Noun ," ଦାଡ଼ିୟ୍‌, ନେଟା "
 castor oil , Noun ," ନେରୋଣେ ମାଡ଼ା, ନୀୟ୍‌ "
 cat , Noun ," ଷେର୍‌, କାଡ଼୍‌ "
 cat MEWS , Noun ," ଞେୟ୍‌, ସ୍‌, କାମାଟି "
 cataract of the eye , Noun , ପାରା 
 caterpillar      , Noun           , ବୁଇନ୍ଦେ କୀଡ଼ା  
" caterpillar, worms ", Noun         , ଚୁଡ଼ୂଲାପୁଡି    
 cattle           , Noun           , ଗୋଷ୍ଠୀ         
 cauldron         , Noun           , କଡ଼େଇ           
 cauliflower      , Noun           , ଫୁଲକୋବି         
 cause to move by hand , Noun      , ହସ୍ତଗତି       
" caution, reason, cause ", Noun    ," ସତର୍କତା, କାରଣ, ବାବାଙ୍କ୍‌ "
 cave             , Noun           , ଗୁହା            
 caves            , Noun           , ଗୁହା            
" cement wall, boundary ", Noun      , ପାରିଗୋଡ଼ା      
 centipede        , Noun           , ଜିନ୍ନାଳି        
 ceremony         , Noun           , ଉତ୍ସବ           
 certain day      , Noun           , ନିଶ୍ଚିତ ଦିନ    
 chaff            , Noun           , ପୋଷ୍ଟକୁଡ଼ା      
" chain, necklace  ", Noun           , ଗଲୁସୁ          
 chair            , Noun           , ଚୈକି            
 chalk            , Noun           , ଶାଲିମଣି        
 chalk paddy (ten), Noun           , ପୁଟ୍ଚେନ୍‌       
 chameleon    , Noun           , ନେୟ୍‌           
 chamomile    , Noun           , ବାନ୍ତି ପୁଙ୍ଗାର       
" channel, canal ", Noun         ," ଚେନେଲ, କ୍ଯାନାଲ୍     "
 chapel       , Noun           , ଛାପେଲ୍‌          
 character    , Noun           , ଲେଖାରେଖା        
 charcoal     , Noun           , କୋଳା            
 chariot      , Noun           , ରଥ             
 charity      , Noun           , ଦାନାଦାନି       
 chatter box  , Noun           , ବାକରୀ ଛାତ୍ର    
 cheat        , Noun           , ପ୍ରମାଣିକ ନାହିଁ 
 check        , Noun           , ପରୀକ୍ଷଣ         
 cheetah      , Noun           , ଚିତା            
 chest        , Noun           ," ପେଟ, ଛାତି       "
 chicken curry , Noun          , ଚିକେନ ମସାଲା    
 chicken pox  , Noun           , ଚିକେନ ପକ୍ଷପାତ   
 chief spirit , Noun           , ପେନ୍‌ କାରା         
 child        , Noun           , ଚିନା ପିଲା         
 chill        , Noun           , ଇଗାମ୍‌            
 chilli-green , Noun           ," ପାକାୟା, ମିଡ଼ିୟାକ୍‌ "
 chilli powder, Noun           , କାରା ମ୍‌          
 chin         , Noun           , କାଡମ୍‌           
 choice       , Noun           , ନେଚାନାଦ୍‌         
 cholera      , Noun           ," କାକ୍‌ କାନାଦ୍‌, ପୋର୍‌ ସାନାଦ୍‌ ନୁ ପେଲାନାଦ୍‌ "
 chord        , Noun           , ଞେନ୍‌ ସାନ୍‌ ନାରେମ୍‌ 
 Christian    , Noun           , ଜୀଶୁନ୍‌ -ଦାର୍ମାମ୍‌ ନାମ୍‌ ମାନ୍ଦାନୋର୍‌ 
 chronic disease, Noun         , ମୁନ୍ନେଟ୍‌ କୁଞ୍ଜ୍‌ ମାନ୍ଦାନ୍‌ ରୋଗାମ୍‌ 
 church       , Noun           ," ଗୀର୍ଜା-ଗୁଡ଼ି,ଗଟ୍ଟାମ୍‌ "
 churn        , Noun           , ଗାୱାମ୍‌ ତେ ଇଦିଲିସାନାଦ୍‌ 
 circumcision       , Noun              ," ଆଡୁକୋଲ୍‌, ସାୟ୍‌ ଇଲ୍‌      "
 citizen            , Noun              , ନିଜ ଦେଶେମ୍ ତ୍‌         
 city               , Noun              ," କାଡ଼ିୟ୍‌, ନାହାର          "
" clan, cast         ", Noun              , କୁଲାମ୍‌           
 class              , Noun              , କିଲାସ୍‌           
 classmate          , Noun              ," ତୋଡ଼େ ସାଦ୍‌, ଓାନୋଣ୍ଟ, କାର୍‌ ଶ୍‌ ପାନୋନ୍‌ "
 cleanliness        , Noun              , ସୁବ୍ାଙ୍ଗ୍‌          
 clear              , Noun              , ଓେଡିସାନାଦ୍‌       
 cleverness         , Noun              , ଚାଲାକ୍‌          
 climb down         , Noun              , ଡିଗା             
 close              , Noun              ," କେତ୍ତାନାଦ୍‌, ମୁଚାନାଦ୍‌ "
 cloth , Noun , ସୀଲେ 
 cloth washing , Noun , ଗୁଡ଼ା ଉକୋମିନ୍ଦେଣ୍ଡ 
 cloud , Noun , ମେଗାମ୍‌ 
 cluster beans , Noun , ବର୍ଗଟି 
 co-operation , Noun , ମାନ୍ଦାନାଦ୍‌ 
 coal , Noun ," ବୁଗୁ, ବୋଗି "
 cock bird , Noun , କର 
 cock's comb , Noun ," କୂକଡ୍‌, କୂକୂର୍‌ "
 coconut , Noun ," ଗବେର୍‌, କାୟା, ନାଡେଲ୍‌ "
 coconut oil , Noun ," ଗବେର୍ନୀୟ, ନାଡେଲ୍‌, ନୀୟ୍‌ "
 coconut tree , Noun , ଗବେର୍‌ ମାଡ଼ା 
 coins , Noun , ଚିଲାର୍‌ ପାଇସା 
 coir , Noun , ଗବେର୍‌ ଟଟେ 
 cold , Noun ," ଶାଲ୍‌, ପାନ୍‌, ସେମ୍‌ "
 colic pain , Noun , ଡକା ନପ୍‌ 
 colleague , Noun ," ତୋଡ଼େ କାର୍‌ ସ୍‌, ପାନୋର୍‌, ପାଡ଼ିୟ୍‌ ମାଡ଼ାନୋର୍‌ "
 colony , Noun , ଗୁଡେମ୍‌ 
 colour , Noun , ରାଙ୍ଗ୍‌ 
 comb , Noun ," ପାଡ଼ିୟାମ୍‌, ପାଡ଼ିୟାକ୍‌, ଦୁଗାଏଲ ଆସାଇ, ଆସ, ଞେମ୍‌, ଭସୋଡ଼୍‌ "
 come , Noun ," ଡ଼ା, ରା "
 comedian , Noun , ନାଟକ କଳାକାର 
 comfort , Noun , ସୁବିଧା 
 commandment , Noun , ଆଦେଶ 
 committee , Noun , ସମିତି 
 common kite , Noun , ସାଧାରଣ ପତଂଗ 
 common place , Noun , ସାଧାରଣ ସ୍ଥାନ 
 communicable disease , Noun , ଶାରୀରିକ ରୋଗ 
 competition , Noun , ପାରିଶ୍ରମିକ ପ୍ରତିଯୋଗୀ 
 comet , Noun , ଧମାକା ତାରା 
 company , Noun , ସଂସ୍ଥା 
 QB , Noun , କ୍ୟୁ.ବୀ. 
 complaint , Noun , ତାପ୍‌ ପୁ - ମାଟା 
 complexion , Noun ," ସାଲ୍‌, ଆମ୍‌ ରୋ "
 conduct , Noun , ବ୍ୟବହାର 
 conflict , Noun , ଦ୍ୱନ୍ଦ 
 comrade , Noun , ସଙ୍ଘୀ 
 concubine , Noun , ଧୀରେଇ 
 condemnation , Noun , ଦଂଡ 
 confession , Noun , ଅସ୍ବୀକାର 
 Confusion    , Noun           , ଅବିବକ୍ତି         
 Congratulation , Noun         , ଅଭିନନ୍ଦନ         
 Conjunctivitis , Noun         , ଆଖୀ ଆଘାତ          
 Connection   , Noun           , ସଂଯୋଗ            
 Conscience   , Noun           , ସମ୍ବିଧାନସ୍ଥିତି    
 Constipation , Noun           , କୋଷ୍ଠ ବନ୍ଦି         
 Construction , Noun           , ନିର୍ମାଣ           
 Consumption  , Noun           , ଖାଦ୍ୟ ଗ୍ରହଣ         
 Contemplation , Noun          , ଚିନ୍ତା            
 Content      , Noun           , ବିଷୟାରେ ଜାଣନ୍ତୁ   
 Contentment  , Noun           , ସନ୍ତୋଷାମୃତ        
 continued fever , Noun , ନାର୍କା 
 payal , Noun , ପାୟାଲ୍‌ 
 mandan , Noun , ମାନ୍ଦାନ୍‌ 
 contractor , Noun , ଟିକାଦାରି 
 control , Noun , ନିଯୋଜନ 
 cook , Noun , ଆଟ୍‌ 
 cooking , Noun , ରନ୍ଧନ 
 Asia , Noun , ଆସିଆ 
 cooking pot , Noun , ପାତ୍ର 
 cool water , Noun , ଜଳ ଠଣ୍ଡା 
 coolie , Noun , କୂଳି 
 coop , Noun , ଛୋଟ ମଛିର ଘର 
 co-ordination , Noun , ସମନ୍ବୟ 
 coppersmith , Noun , ତାମ୍ର କାରିଗର 
 copy , Noun , କପି 
 cord , Noun , କୋର୍ଡ 
 coriander leaf , Noun , ଧନିଆ ପତ୍ର 
 coriander seed , Noun , ଧନିଆ ବିଜା 
 com          , Noun           ," ଜନ୍‌, ଜାନ୍‌      "
 corn         , Noun           ," ଡେଡ଼ା, ଆାୟା   "
 corner       , Noun           , ମୂଲା            
 cornerstone  , Noun           ," ପାଣ୍ଡ, ମୁଲା କାଲ୍‌ "
 corps        , Noun           ," ସୈନୁକ୍‌, ଏସ୍‌  "
 corpse       , Noun           , ପିନୁମ୍‌         
 cot          , Noun           , କାଟୁଲ୍‌        
 cotton       , Noun           ," ଦୁଦ୍‌, ତୂତୁଲ୍‌, ମାଡ଼ା "
 cotton tree  , Noun           ," ପାରୁପ୍‌ ପୁ, ମାଡ଼ା, ଦୂଦ୍‌ ମାରା "
 counselor    , Noun           ," ସାୟା ମାଟ୍ଟା, ଭଦାନୋଣ୍ଡ "
 couple       , Noun           , ଦୁଇ              
 courage      , Noun           , ଦାୟାଙ୍ଗ୍‌        
 course       , Noun           ," ଆର୍‌, ନାଡ଼ୂଦାନ୍‌ ଆର୍‌ "
 court        , Noun           , କୋର୍ଟ୍‌         
 courtesy     , Noun           ," ଲୋନ୍‌ ଓାଦାନର୍‌ କିଙ୍୍‌, ସାୟା ପ୍ରେମାତେ ଉଡ଼ାନାଦ୍‌ "
 courtyard    , Noun           ," ଆଙ୍ଗାଡ଼୍‌, ଏହେଶ୍ଟା "
 covenant     , Noun           ," ଇର୍‌ ସିର୍‌ ଲୋପେ, ମାନ୍ଦାନ୍‌ ମାଟ୍ଟା କାଗାଜ୍‌ "
" cover of vessel,cover-pot ", Noun , ସିପେମୁନ୍ତା 
 cow dung , Noun , ପେଣ୍ଠ 
 cow dunk cake , Noun , ଗୋମେରା 
 cow herd , Noun ," ଗଡ଼୍‌ କ୍‌ ବାକ୍‌ କା, ମେତାନୋଣ୍ଡ "
 cow lows , Noun , ଗୋଡ଼କି ଭା ଭା 
 cow milk , Noun , ଗଡ଼୍‌ ପାଲ୍‌ 
 cows , Noun ," ବାକ୍‌, ଗଡ୍‌ "
 coward , Noun , ସାଣ୍ତ 
 cowardice , Noun , ସେର୍ଦାନୋନ୍‌ 
 cowherd , Noun , ଗଲାଲ୍‌ 
 cowshed , Noun , ଡ଼ଡ୍‌-କଟ୍ରାମ୍‌ 
 crab , Noun , ଏଟି 
 cracks , Noun , ଟାପାକାୟା 
 craftiness , Noun , ବଲିସାନାଦ୍‌ 
 crane , Noun , ଗାଣ୍ଡି କଙ୍ଗା 
 craving , Noun , ନାର୍ଗେ ଇଷ୍ଟାମ୍‌ 
 creator , Noun ," ଦେହୁନ, ବାଗାୱାନ୍‌, ଦେ "
 credit , Noun , ଗୁଢୃପ୍‌ ତା ଡ଼ାବ୍‌ କଞ୍ଚା 
 creditor , Noun , ବାକି ଭଦାନୋଣ୍ୁଡ 
 creeper , Noun , ଏଟ୍‌ 
 cremation , Noun , ପଡ଼୍‌ ସୀଦାନାଦ୍‌ 
 crest , Noun , କୋର୍‌ ପୂୃର୍ଗାର୍‌ 
 cries out , Noun , କେୟ୍‌ କେୟ୍‌ 
 crop , Noun , ପେସିଲି 
 Cross , Noun , ଆଡ଼ାମ୍‌ 
 cross beam , Noun , ବାଲା 
 cross road , Noun , ଆର୍‌ କା 
 crow , Noun , କାରାଗୁଟ୍‌ 
 crowbar , Noun , ଗୁନ୍‌ ପାଲ୍‌ ଗାଡ଼୍‌ 
 crowd , Noun , ମୁଲ୍‌ 
 crown , Noun , କିରିଡ଼ାମ୍‌-ମୁକୁଟ୍‌ 
 crows-fight , Noun , କୋର୍‌ ପାନ୍ତେ 
 cruelty   , Noun   , ଞେର୍‌ ଅର୍ତୁଣ୍ଠ   
 crutches of pillar   , Noun   , ଗୁଞ୍ଜୋ ପାଙ୍ଗାଲ୍‌   
 crutches on the tree   , Noun   , କମ୍‌ ମା ପାଙ୍ଗାଲ୍‌   
 cubit   , Noun   , କୁଟ୍ଟା ମୂରେଡ଼୍‌   
 cuckoo bird   , Noun   , କୋଇଲି ପିଟେ   
 cucumber   , Noun   , ଦସା କାୟ୍‌   
 cucumber melon   , Noun   , ଓେକୂମ୍‌   
 cudgel   , Noun   , ଗାଲାସ   
 cultivable land   , Noun   , ଲାଙ୍କା   
 cumin   , Noun   , ଜୀରାକ୍‌   
" cup,glass   ", Noun   , ଗାଲାସ   
 cupboard   , Noun   , ପୀଡା   
 cure   , Noun   , ସାୟ୍‌ ଆଦାନାଦ୍‌  
 ୦୩111005   , Noun   , ଇଷ୍ଟାମ୍‌ ଆଦାନାଦ୍‌   
 curry                 , Noun                      ," କୁସିର୍‌, କୁଚିର୍‌ "
 curry leaf tree        , Noun                      , କାରେମ୍‌ 
 curry prepared with meat , Noun                    , ଆଙ୍ଗିନ୍‌ କୂଚ଼ିର୍‌ 
 curry stone            , Noun                      , କାରାମ୍‌ ନୂରାନ୍‌ 
 curry with cabbage     , Noun                      , ମୁଟା କୁଚିର୍‌ 
 curse                  , Noun                      , ସାପିସାନାଦ୍‌ 
" curse, gossip          ", Noun                      , ପାଗା ମାଡିଭୋର୍‌ 
 custard apple          , Noun                      , ଚିଭା ପାଲେ 
 custard apple tree     , Noun                      , ସୀତା ମାଡ଼ା 
 cut off                , Noun                      , ତେଗିଆତ୍‌ 
 cut off a surface      , Noun                      , ଏକ୍‌ କାନାଦ୍‌ 
 cyclone                , Noun                      , ସୁର୍‌ ଗାଲ୍‌ 
 daily , Noun ," ଦିନାମ୍‌ ଦିନାମ୍‌, ରୋଜ୍‌, ଦିନାଲ୍‌ "
 daily , Noun , କୂଲିନ୍‌ ଡାପ୍‌ 
 dall , Noun , ପାପ୍‌ ପୁ ପାଣ୍ଟା 
 dancer , Noun , ଆରିୟାନୋଣ୍ଠ 
 dandruff , Noun ," ତାଲା ମାଶ୍‌ ତ୍‌ ,ପେର୍ତ୍‌ "
 dangerous man , Noun ," ବାୟାମ୍‌, ମାଲାମ୍‌ ନାରୁଣ୍ତ "
 daughter , Noun , ମାୟାଡ଼ 
 daughter in law , Noun , କଡ଼ିୟାଡ଼ 
 day ," Adjective, Noun ", ସାମାୟ୍‌ 
 day after tomorrow , Noun , ରୋଜ୍‌ 
 day before yesterday , Noun ," ମାନେଟ୍‌ କ୍‌, ଆନାଡ଼୍‌ "
 day time , Noun , ପାୟାଲ୍‌ 
 deaf , Noun ," କନ୍ଦାଲ୍‌, ବାୟିରାଲ୍‌, ମୁକ୍‌ "
 deaf man , Noun , ସେଞଟାଲ୍‌ 
 deaf woman , Noun , ସେଞ୍ଟିଲ୍‌ 
 dearth , Noun , କାର୍‌ ଓ୍‌ 
 death , Noun ," କିୱ୍‌, ଡୋଲ୍‌ "
 deacon , Noun ," ଗୁଡ଼ିୟ୍‌ ସାରେ, ନାଡ଼ୂପିସାନ୍‌ ମେଲ୍‌ ସିର୍ମ୍‌ ଆଦାନାଦ୍‌ "
" dead, expired ", Noun , ସାୱ୍‌ 
 debate , Noun , ଗଟି କେଭାନାଦ୍‌ 
 debtor , Noun , ବାକି ତୀସି ମାନ୍ଦାନୋର୍‌ 
 dawn , Noun , ସେଜରେ 
 daybreak , Noun ," ଉଦୟ ହେଉଛି, ଉତ୍କାଳ ହେଉଛି "
 daytime , Noun , ଦିନରେ 
 deafness , Noun , କଣ୍ଠ ଶ୍ରୋତବ୍ୟତା 
 deathbed , Noun , ମରଣ ସ୍ଥାନ 
 decade's , Noun , ଦଶକ ଯୋଗ୍ୟ 
 decayed tooth  , Noun                           ," ପୁପାପୋଲ୍, ମଟାପାଲ୍‌ "
" deceit, hypocrisy ", Noun                          , ବଲିସାନୋର୍‌ 
 decent            , Noun                           , ସୋକ୍‌ ମାନ୍ଦାନାଦ୍‌ 
 deception         , Noun                           ," ନାଟ୍‌ କାମ୍‌, ଚାଲାକ୍‌, ପାଡ଼ିୟ୍‌ "
 decision          , Noun                           ," ଦିର୍ମାନାମ୍‌, ସାମାଦାନାମ୍‌, ତ୍ରଣି "
