English Word,Part of Speech,Odia Translation
 bind with rope , Verb , ତାଡୁକୁ ବାଣ୍ଡିବା 
 bird         , Noun           , ପକ୍ଷୀ         
 birth        , Noun           , ଜନ୍ମ            
 birth control, Noun           , ଜନ୍ମ ନିଯୋଜନ    
 height       , Noun           , ଉଚ୍ଚତା         
 birthday     , Noun           , ଜନ୍ମ ଦିନ        
 ceremony     , Noun           , ଉତ୍ସବ          
 bishop       , Noun           , ବିଶୋପ          
 mandate      , Noun           , ହୁକମ            
 officer      , Noun           , ଅଧିକାରୀ         
 bison        , Noun           , ବିସୋନ୍‌        
 bird         , Noun           , ପକ୍ଷୀ         
 bite         , Verb           , କାଟିବା         
 bitter       , Adjective      , କଡେଇବା         
 gourd        , Noun           , ଲାଉ             
 black        , Adjective      , କଳା            
 cumin        , Noun           , ଜିରା            
 monkey       , Noun           , ବାନର୍ଜି        
 goose        , Noun           , ହଂସ             
 gram         , Noun           , ଚଣା            
 myrobalam    , Noun           , ହରିତକୀଟି       
,,
 black pepper      , Noun                , କମାଟ୍‌ ଗିଞ୍ଜା          
 black soil        , Noun                , କାରି ମାଣୁଲ୍‌             
 blacksmith        , Noun                , କାମ୍ମାର୍‌                
 blame             , Verb                , ନେରାମ୍‌ ଭଦାନାଦ୍‌          
 blanket           , Noun                , ଦୁପ୍‌ ଡି କମ୍ବଲ             
 blaspheme        , Verb                , ଦାର୍ମାମ୍‌ ଇଲୁକ୍‌           
 blazing fire     , Adjective           , କିସ୍‌                     
 bleeding         , Verb                ," କାରାନାଦ୍‌, ପଙ୍ଗାନାଦ୍‌       "
 bless            , Verb                , ଆସୀର୍ଧାଦାମ୍‌             
 blew away        , Verb                , ତୁୱ୍‌ ତାନାଦ୍‌              
 blew up          , Verb                , ପିଟେ ପାରିସାନାଦ୍‌          
" blot,spot        ", Noun                , ପାଲ୍‌ ଜୂର୍ଭା                
 blouse           , Noun                , ରେୟ୍‌ କ୍‌ କେ                
 blow as the wind , Verb                , ଗାଲ୍‌ ତୋଲାନାଦ୍‌            
 blood            , Noun                ," ନେତୂର୍‌, ନେଉୁର୍‌           "
 blood pressure   , Noun                ," ଜୀୱା ତାଗେ ଆଦ୍‌ ମାନାଦ୍‌, ନାର୍କେ କାମ୍‌ ଆଦାନ୍‌ ରୋଗାମ୍‌ "
 blossoming       , Verb                ," ଭା, Q&IQ, QQ               "
 blister          , Noun                , ଗାଡା ପେୟ୍‌ ତ୍‌             
 blind lady       , Noun                ," ଗୁଡ଼ିଲ୍‌ ନାଟାଡ଼, JER        "
 blind-man        , Noun                , ଗୁଡ଼ି ଏଣ୍ଡ                   
 bloke            , Noun                ," କାର୍କା AGI, ମକାମ୍‌ ତା କାର୍ରି ବଣ୍ଢିଆ, କାର୍କାର୍‌ ମାଡ଼ାনାଦ୍‌ "
 blow down , Verb , ରାଲି 
 blow out , Verb , ପିଚ୍‌ ଚିଦାନାଦ୍‌ 
 blow up , Verb , ଧୂମ୍‌ ଉଡ଼ିସାନାଦ୍‌ 
 blow whistle , Verb , ପିଲ୍‌ ଉସଡ଼ ଓାଟାନାଦ୍‌ 
 blow(air) , Verb , ଉଦାନାଦ୍‌ 
 blowing the nose , Verb , ସିଇନ୍ଦା 
 blowpipe , Noun , ଗୋଣ୍ଡାମ୍‌ ଗୋଣ୍ଡଟାମ୍‌ 
 blue colour , Noun , AIG ଆଇଗି 
 blunt , Adjective , ମାନ୍ଦା 
 boar , Noun , ଆଡ଼୍‌ ଓ୍‌ ତ୍‌ ପାଦ୍‌ ରୋଲୁ 
 board , Noun , ରୁଟି ରାକାନ୍‌ ବାଲା ବୋର୍ଡ 
" board, plank ", Noun , ରୁଟି ରାକାନ୍‌ ବାଲା @1RI 
 boast , Verb , ଗାଢ଼୍‌ ଶ୍‌ ଆଶ୍‌ ନିଲ୍‌ ସାନାଦ୍‌ 
 boastful , Adjective , ଗାର୍ବିତ 
 boat , Noun , ନାଉ 
 body , Noun , ଦେହ 
 boiling , Verb , ଏଚେର୍‌ ଓାସମିନ୍ଦେ 
 boisterous , Adjective , ରାମ 
 bold , Adjective , ଦେୟାଙ୍ଗ୍‌ 
 boldness , Noun , ଦୁରୁଶ୍‌ ମାନ୍ଦାନାଦ୍‌ 
 bolster , Noun , ପୋଡ଼୍‌ ଗ୍‌ ତାଲ୍‌ ପ୍‌ ଗାଡ଼୍‌ 
 bolt , Noun , ମେର୍ସାନାଦ୍‌ 
 bomb , Noun , ବାମ୍‌ 
 bone , Noun , ହାଡ଼ 
 booby , Noun , ବାୟାଲ୍‌ 
 book , Noun , ପୁସ୍ତକ 
 bore fruit , Verb , ଫଳ ଉତ୍ପାଦିତ ହୋଇଥିଲା 
 born , Verb , ତାମ୍‌ ପୁର୍ଟାନାଦ୍‌ 
 born again , Adjective , 6AEBIR 
 born blind , Noun , କାନାଲୋର୍‌ 
 borrow , Verb , ବାକି ତାଭାନାଦ୍‌ 
" boss,master ", Noun , ମାଲିକ୍‌ 
 both.....and , Correlative , ନାହିଁ ନୁହଁ ଆଦ୍‌ 
 bottle , Noun , ଏର୍‌ ତାସାନ୍‌ ଡାବା 
 bottle gourd , Noun , ବୁର୍କ୍‌ କାୟା 
 bottom , Adverb , ଆଡୁଗେ 
 bouquet of flowers , Noun , ପୁଙ୍ଗାର୍‌ 
 bow , Noun , ଞ୍ଲ୍‌-ଞିଲ୍‌ କୁ 
 bow down , Verb , ମାଡ଼୍‌ କି Ag 
 bowl , Noun , ଗିନି 
 bowstring , Noun , ନାରେମ୍‌ 
 box , Noun , ପେଟି 
 boy , Noun , ପେକାଲ୍‌ 
 boyhood , Noun , ପିଲାନ୍‌ 
 bracelet , Noun , AIG 
 braiding hair , Noun , ଜାଡ଼ା ଓାଟାନାଦ୍‌ 
 brain , Noun , ମେଦର୍‌ 
 branch of a tree , Noun , ଗାଲାନ୍‌ 
 branch out , Noun , କମ୍‌ ମା ଆଦାନାଦ୍‌ 
 brass , Noun , ଭତେଲ୍‌ 
 brass basin , Noun , ଗିନି ପିଲ୍‌ ଲା 
 brass ware , Noun , କାନ୍‌ ସ୍‌ QE 
 brass water pot , Noun , କୁଣ୍ଡା 
 bravery        , Noun               , ଦେୟୋର୍୍‌ ତାଦ୍‌       
 bravo          , Interjection       , ଓ               
 bread          , Noun               , ରୁଟି            
 break away     , Verb               ," ଦେଙ୍ଗାନ୍ଦାନାଦ୍‌, ମିରାନା ଦ୍‌ "
 break down     , Verb               , ଆ ନ୍ଦାନାଦ୍‌      
 breakfast      , Noun               , ସେଟ୍‌ ଦଡ଼ା       
 break forth    , Verb               , କେ ସାଟ୍‌ କେ ତୋପାନାଦ୍‌ 
 break into     , Verb               , ନୀ ନେଙ୍ଗାନାଦ୍‌   
 break to pieces, Verb               , ତା               
 break open     , Verb               , ଉଚ୍‌ ଛି ଟେଣ୍ଡାନାଦ୍‌ 
 break the egg  , Verb               , ଗାର୍ବାମ୍‌ ଅମ୍‌ 
 break up coconut, Verb              , ନାଡେଲ୍‌ କାୟ୍‌ ଉତାନାଦ୍‌ 
 break up radio , Verb               , ରେଡିୟ ଉଚ୍ଚିଭର୍‌ 
 break with     , Verb               , ବେନୋନାଗା କୁଞି ସାଙ୍ଗ ର୍‌ ସ୍‌ ପାନାଦ୍‌ 
" break, snap    ", Verb               , ଉତାନାଦ୍‌        
 breast         , Noun               , ରୋମ୍‌ କ୍‌       
 breath         , Noun               , ଆଞେସାମ୍‌ କା     
 breathing      , Noun               , କାଡ଼୍‌           
 breeze         , Noun               , ସାଲାଙ୍ଗ ଗାଲ୍‌   
 bricks         , Noun               , ଇଟା             
 bridal         , Noun               , ପେଣୁୁଲ୍‌ ତା ମାଟା 
 bride          , Noun               , କୋକାଡ଼୍‌        
 bride groom    , Noun               , କୋକୋଣ୍ଡ          
 bridge         , Noun               ,                   
 bridles        , Noun               ," ମୋକୁମ୍‌, ପାଗାମ୍‌ "
 briefly        , Adverb             , ମୁକ୍‌ କା ମୁକ୍‌ କା ଚିନ୍ନା ତୁଙ୍ଗା QEmI Ag! 
bright,Adjective,GONG
shine,Verb,
brightness,Noun,ଜିଗ୍‌ ଜାଗ୍‌
brim with tears,Noun,କିଡ଼୍‌ କାଡ଼୍‌
bring,Verb,ତାରାଁ
bring about,Verb,ଜାର୍ଗିସାନାଦ୍‌
bring back,Verb,ମାଲ୍‌ ସି ତାଭାନାତ୍‌
bring in,Verb,ଓାଟାନାଦ୍‌
bring on,Verb,ତେୟାର୍‌ ମାଡ଼ାନାଦ୍‌
bring out,Verb,ତୋପିସାନାଦ୍‌
bring round,Verb,ରୋଗାମ୍‌ କୁଞ୍ଜୁ ସାୟାମ୍‌ ମାଡ଼ାନାଦ୍‌
bring under,Verb,ଗାର୍ରେ ତାନ୍‌ ae ପେ ତାଭାନାଦ୍‌
bring up,Verb,ପେର୍‌ ପିସି ପୋର୍‌ ପାନାଦ୍‌
brinjal,Noun,"GIG କାୟା, ଆପନା କୁଚିର୍‌"
brisk,Adjective,ଚାଲାକ
broad,Adjective,ଞେଲ୍‌ ପ୍‌
brocade silk,Noun,ଜୀର୍‌ ଗେଲ୍‌ ଗୁଡ଼ା
broken,Verb,ଭରଙ୍ଗ୍‌ ତା
broken pot,Noun,କିଲ୍‌ ଡୋକ୍‌
bronchitis,Noun,ଡାଗ୍‌ ପାଣ୍‌ ସେମ୍‌ ନେଲାନାଦ୍‌ ନେସ
bronze,Noun,ପିତାଲ୍‌ କାଞ୍ଚ୍‌
broom,Noun,ଏପୁରି
brother-in-law,Noun,SIGIR
brown colour of hair,Noun,ରାଗ୍‌ କେଲ୍‌ କୁ ଆତ୍‌
 bruise       , Noun           , ରାଲ୍‌ GIQY      
" cicatrix, cicatric bruise ", Noun , ଗାସ୍‌ ରାମ୍‌ 
 brush        , Noun           ," ତମା, ତୁଙ୍ଗା        "
 brush the teeth , Verb       , ପାଲ୍‌ କାର୍‌     
 bucket       , Noun           , ବାଲ୍‌ ଟି       
 bubble       , Noun           , ବର୍‌ GR ପେତିତ୍‌   
 bubbling     , Verb           , AVR ଏାଦାନାଦ୍‌   
 buck         , Noun           , ପୋତ୍‌ RA        
 buffalo      , Noun           , ଗେଦି-ବାରେ     
 buffalo-cart , Noun           , ବାରେନ୍‌ ବାଣ୍ଡ   
 buffaloes    , Noun           , ଗେଦେ          
 buffalo-female , Noun        , ଡାଡିବାରେ     
 bugler       , Noun           , କମ୍‌ AGIEAIQ    
 build        , Verb           ," ତେଢିମ୍‌, ତେତାନାଦ୍‌ "
 building     , Noun           ," ତାଲାକ୍‌ ଲୋନ୍‌, ପରଟ୍‌ ତାଲା  "
 bulbous root , Noun           , ମାଟି           
 bull         , Noun           , ଆମ୍ବତ୍‌        
 bullock      , Noun           , କୋନ୍ଦା        
 bullock cart , Noun           , କୋନ୍ଦା ଗଡ଼୍‌ ବାଣ୍ଡି 
 bunch        , Noun           , ଗେଲେ ଜୋପା      
 bunches of fruits , Adjective , ତୁମ୍ବା ମାନ୍ଦାନାଦ୍‌ 
 bundle       , Noun           ," ମୁଟା, କାଟା     "
 bundle of grain , Noun        , ଓାଞିା କାଟା     
 bundle of grainswood , Noun   , ଓେରିକିନ୍‌ ମୋପ୍‌ 
 bundle of paddy , Noun       , ମେଦେ           
" bundle of sticks, wood ", Noun , ସର୍କିନ୍‌ ମୋପ୍‌ 
 bundle up 11 saree , Verb , ଉଭାନାଦ୍‌ 
 bungalow , Noun , ମେଡା ମେଡ଼ା ଲୋନ୍‌ 
 burned up , Verb ," ଞେଭା ,ଞେମ୍‌ "
 burning , Verb   , Adel 
 burning coal , Noun , ତାଡ଼ମେ 
 burning(fire) , Adjective ," ନିର୍ଷୋମିନ୍ଦେ(କିଶ୍‌), ମାଣ୍ଡମିନ୍ଦେ "
 burst , Verb ," FSC ,ପୋକିତା "
 burst forth , Verb , AIG କେ ପେୟ୍‌ ସି ତୋପାନାଦ୍‌ 
 burst out , Verb ," AIG କେ ରାମ ତୁଙ୍ଗାନାଦ୍‌, ଆଦାନାଦ୍‌, ପକ୍‌କାନାଦ୍‌ "
 burst upon , Verb ," ସାଟ୍‌ କେ GI ସାନାଦ୍‌, ରେତାନାଦ୍‌ "
 bury , Noun , ମିଚ୍ଚାନାଦ୍‌ 
 bus , Noun , @Q 
" bush, shrub ", Noun , 6AIGINI 
 business , Noun , ଏପାରାମ୍‌ 
 busy , Adjective ," MAl ଗାପା, ଦାନ୍ଦା ag ସି "
 but , Coordinating connective , ମାତ୍ରାମ୍‌ 
 butcher , Noun , ଆଙ୍ଗ୍‌ କୟ୍‌ ସି ଆମ୍‌ ମାନୋଣ୍ଟ 
 butt , Noun , ମଗମିନ୍ଦେ ୮୮୪୮ 
 butter milk , Noun , ପାଲ୍‌ ଏର୍‌ AR 
 butterfly , Noun , ଗୁଗି 
" butting, charging ", Verb , କଟାଭା 
 buttocks , Noun , ଗୁରାପେଣ୍ଡା 
 button , Noun , କୁସାମ୍‌ ବିଲା 
 buy , Verb , ଆଶ୍‌ ଶାନାଦ୍‌ 
 by , Preposition , ଟୋଣ୍ଡେ 
 by chance , Adverb , ଜତି ଆକେ 
 by day , Preposition , ପାୟାଲେ 
 cabbage , Noun ," ମୁଟ୍‌ ଲା କୋବି, କବି, ପୁଲ "
 cabin ate ware , Noun ," ଞେର୍‌ କିନ୍‌, ସାମାନ୍‌ "
 cacophony , Noun ," କେଞ୍ଜାନାଙ୍କ୍‌, କାରାପ୍‌ CAG "
 cactus , Noun ," ବାଲା, ଏଟ୍‌ କ୍‌ "
 calabash vegetables , Noun ," ଜାଙ୍ଗ୍‌, କାୟା "
 calamity , Noun ," ସାଟ୍‌ କେ, ନାଷ୍ଟାମ୍‌, କାଷ୍ଟାମ୍‌ ଏାଦାନାଦ୍‌, କାଷ୍ଟାମ୍‌ ଞାଦାନାଦ୍‌ "
 calf , Noun , ପେୟ୍‌ ୟା ପିଲ୍‌ ଲା 
 call , Verb ," କାରୁଙ୍କାନାଦ୍‌, ରାମ୍ ତୁଙ୍ଗାନାଦ୍‌ "
" call at, call on, call upon ", Verb ," ସୁଡ଼ୂଟ୍‌ ସାମାୟାମ୍‌, ସେଙ୍ଗେ କାଲିୟାନାଙ୍କ୍‌, ଆନ୍ଦାନାଦ୍‌ "
 callin , Verb , କାର୍‌ ଘିଂସାନାଦ୍‌ 
 call out , Verb ," ବେଢ଼ିୟା EME ତେ, କାର୍‌ ଙ୍ଗାନାଦ୍‌ "
 callup , Verb ," ଏଦ୍‌ କି, ତୁଙ୍ଗିଦାନାଦ୍‌, ମାଡ଼ାନାଦ୍‌ "
 calm , Adjective ," ସାମ୍‌ କ୍‌, କଟ୍ଟ, ମାନ୍ଦାନାଦ୍‌ "
 caltrops tree , Noun , ବଗ ଜିଲ୍ଲା ଢ୍ୟୁରେ 
 camel , Noun , ଲୋଟପିଟେ 
 by day train    , Preposition      , ପାୟାଲ୍‌          
 by means of     , Preposition      , ସାଙ୍ଗେ           
 by money       , Adverb           , ପାଇସାତେ         
 camera men     , Noun             , ପୁଟୁଏଁ ଡିପାନଣ୍ଡ 
 can            , Verb             , ପାର୍ଚା          
 can not spread hand , Verb        , କାୟ୍‌            
 canal          , Noun             , କା               
 cancel         , Verb             , ତେତାନାଦ୍‌        
 cancer         , Noun             , କେନ୍‌ ସାର୍‌ ରୋଗାମ୍‌ 
 candle         , Noun             , ମୋବଭି            
 cane stick     , Noun             , ପେଦାତୁଡ୍‌         
 canine tooth   , Noun             , ବେରାଁ ପାଲ୍‌      
 cap            , Noun             , ଟୋପ୍‌            
 card game      , Noun             , ପେକ୍‌ କ ଆଟା      
 careful        , Adjective        , ଚେତୁର୍‌ ଆଦାନାଦ୍‌  
 carefully      , Adverb           , ଚେତୁର୍ତେ         
 careless       , Adjective        , ଏକ୍‌ ମେରେ         
 careless man   , Noun             , ପାର୍ବୋତୁଲ୍‌      
 carious tooth  , Noun             , କୁଳୁତା ପାଲ୍‌   
 carp           , Noun             , ପୋଟ୍‌ କୀକେ        
 carpenter      , Noun             , ଓାଡ଼୍‌ ଲାଲ୍‌     
 carpet         , Noun             , କାଲ୍‌ ଉନ୍‌ ଶ୍‌ ପାନାଦ୍‌ 
 carrot         , Noun             , ଏରାଁ ମାଟି         
 carry away     , Verb             , ତୀସି 603         
,,
 by talk , Adposition , ଗଟ୍‌ 
 by work , Adposition , ଗଟ୍‌ 
 by walk , Verb , ନାଡ଼୍‌ ସ୍‌ ନାଡ଼୍‌ ସ୍‌ 
 by way of , Preposition , ଅଧି 
 carry on , Verb ," ନାଟୃପିସା, ନାତୁସ୍‌, ପାନାଦ୍‌ "
 carry on shoulder , Noun , କାଞ୍ଜାନାଦ୍‌ 
 carry out , Verb ," ପୂରାଉଛି, ମାଟା ପୟ୍‌ ସି ପାଡ଼ିୟ୍‌, ମାଡ଼ାନାଦ୍‌ "
 carry the things on head , Verb ," ତୋର୍ଥ ଡୋଦାନାଦ୍‌, ତୋଞ୍ଚି ସୋଦାନାଦ୍‌ "
 carrying , Verb ," ମୋସାନାଦ୍‌, ତୋସାନାଦ୍‌, ପୂହ -ତ୍‌-ବାୱ୍‌, କାଞ୍ଜାନାଦ୍‌ "
 cashew nut , Noun , ଜିଡ଼୍‌ ମାମିଡ଼୍‌ 
" cassava plant, tapioca ", Noun , ସୋମା ମାଡ଼ା 
 cast away water , Verb ," ଲସ୍‌, କାନାଦ୍‌, ପଚାନାଦ୍‌ "
 cast one's net , Verb ," ଏସ୍‌, ତାନ୍‌, ଏସାନାଦ୍‌ "
" castle, wall ", Noun ," ଦାଡ଼ିୟ୍‌, ନେଟା "
 castor oil , Noun ," ନେରୋଣେ ମାଡ଼ା, ନୀୟ୍‌ "
 cat , Noun ," ଷେର୍‌, କାଡ଼୍‌ "
 cat MEWS , Noun ," ଞେୟ୍‌, ସ୍‌, କାମାଟି "
 cataract of the eye , Noun , ପାରା 
 ag               ,                , ଅଗ୍‌            
 according to     , Adverb         , ଅନୁସାରେ        
 catch            , Verb           , ପୟ୍‌ ମ୍‌       
 caterpillar      , Noun           , ବୁଇନ୍ଦେ କୀଡ଼ା  
" caterpillar, worms ", Noun         , ଚୁଡ଼ୂଲାପୁଡି    
 cattle           , Noun           , ଗୋଷ୍ଠୀ         
 cauldron         , Noun           , କଡ଼େଇ           
 cauliflower      , Noun           , ଫୁଲକୋବି         
 cause to get out , Verb           , ପେସ୍‌           
 cause to move    , Verb           , ହରକେଲା         
 cause to move by hand , Noun      , ହସ୍ତଗତି       
" caution, reason, cause ", Noun    ," ସତର୍କତା, କାରଣ, ବାବାଙ୍କ୍‌ "
 cautiously       , Adverb         , ଜାଗ୍ରତେପରେ      
 cave             , Noun           , ଗୁହା            
 caves            , Noun           , ଗୁହା            
" cement wall, boundary ", Noun      , ପାରିଗୋଡ଼ା      
 centipede        , Noun           , ଜିନ୍ନାଳି        
 ceremony         , Noun           , ଉତ୍ସବ           
 certain day      , Noun           , ନିଶ୍ଚିତ ଦିନ    
" certainly, positively ", Adverb , ନିଶ୍ଚିତଭାବେ     
 chaff            , Noun           , ପୋଷ୍ଟକୁଡ଼ା      
" chain, necklace  ", Noun           , ଗଲୁସୁ          
 chair            , Noun           , ଚୈକି            
 chalk            , Noun           , ଶାଲିମଣି        
 chalk paddy (ten), Noun           , ପୁଟ୍ଚେନ୍‌       
 chameleon    , Noun           , ନେୟ୍‌           
 chamomile    , Noun           , ବାନ୍ତି ପୁଙ୍ଗାର       
 change       , Verb           , ପରିବର୍ତ୍ତନ        
" channel, canal ", Noun         ," ଚେନେଲ, କ୍ଯାନାଲ୍     "
 chapel       , Noun           , ଛାପେଲ୍‌          
 char         , Verb           , ଚାର୍‌           
 character    , Noun           , ଲେଖାରେଖା        
 charcoal     , Noun           , କୋଳା            
 chariot      , Noun           , ରଥ             
 charity      , Noun           , ଦାନାଦାନି       
 charming appearance , Adjective , ମୋହକ ରୂପ       
 chase        , Verb           , ପେଟେଇ ଲଗାଇବା     
 chatter box  , Noun           , ବାକରୀ ଛାତ୍ର    
 chattering   , Adjective      , ବାକବାକ ସହି    
 cheap        , Adjective      , ସହଜ ମୁଲ୍ୟ       
 cheat        , Noun           , ପ୍ରମାଣିକ ନାହିଁ 
 check        , Noun           , ପରୀକ୍ଷଣ         
 checking     , Verb           , ପରୀକ୍ଷା କରନ୍ତୁ  
 cheerful     , Adjective      , ଆନନ୍ଦମୟ         
 cheetah      , Noun           , ଚିତା            
 chest        , Noun           ," ପେଟ, ଛାତି       "
 chewing      , Verb           , ଚୋଷଣ କରିବା      
 chicken curry , Noun          , ଚିକେନ ମସାଲା    
 chicken pox  , Noun           , ଚିକେନ ପକ୍ଷପାତ   
 chide        , Verb           , ମାୟ୍‌ ତାନାଦ୍‌     
 chief spirit , Noun           , ପେନ୍‌ କାରା         
 child        , Noun           , ଚିନା ପିଲା         
 chill        , Noun           , ଇଗାମ୍‌            
 chilli-green , Noun           ," ପାକାୟା, ମିଡ଼ିୟାକ୍‌ "
 chilli powder, Noun           , କାରା ମ୍‌          
 chin         , Noun           , କାଡମ୍‌           
 chisel       , Noun           , QR               
 choir        , Noun           , ପାଟା ପାରାନ୍‌ Se  
 choice       , Noun           , ନେଚାନାଦ୍‌         
 cholera      , Noun           ," କାକ୍‌ କାନାଦ୍‌, ପୋର୍‌ ସାନାଦ୍‌ ନୁ ପେଲାନାଦ୍‌ "
 choose       , Verb           ," ଏଞ୍ଚାଟ୍‌, ଏନ୍‌ Ale "
